date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
sep29,Gadag,111.0,9049.0,95.0,8291.0,628.0,1.0,130.0,0.0
sep30,Gadag,67.0,9116.0,112.0,8403.0,582.0,1.0,131.0,0.0
oct01,Gadag,146,9262.0,94.0,8497.0,634.0,0.0,131.0,0.0
oct02,Gadag,80,9342.0,59.0,8556.0,655.0,0.0,131.0,0.0
oct03,Gadag,32,9374.0,70.0,8626.0,616.0,1.0,132.0,0.0
oct04,Gadag,110,9484.0,75.0,8701.0,651.0,0.0,132.0,0.0
oct05,Gadag,51,9535.0,73.0,8774.0,627.0,2.0,134.0,0.0
oct06,Gadag,93,9628.0,52.0,8826.0,667.0,1.0,135.0,0.0
oct07,Gadag,72,9700.0,63.0,8889.0,676.0,0.0,135.0,0.0
oct08,Gadag,42,9742.0,111.0,9000.0,607.0,0.0,135.0,0.0
oct09,Gadag,68,9810.0,84.0,9084.0,590.0,1.0,136.0,0.0
oct10,Gadag,32,9842.0,82.0,9166.0,539.0,1.0,137.0,0.0
oct11,Gadag,60,9902.0,79.0,9245.0,520.0,0.0,137.0,0.0
oct12,Gadag,26,9928.0,71.0,9316.0,474.0,1.0,138.0,0.0
oct13,Gadag,66,9994.0,73.0,9389.0,467.0,0.0,138.0,0.0
oct14,Gadag,41,10035.0,69.0,9458.0,438.0,1.0,139.0,0.0
oct15,Gadag,40,10075.0,56.0,9514.0,422.0,0.0,139.0,0.0
oct16,Gadag,45,10120.0,52.0,9566.0,415.0,0.0,139.0,0.0
oct17,Gadag,49,10169.0,63.0,9629.0,400.0,1.0,140.0,0.0
oct18,Gadag,53,10222.0,49.0,9678.0,404.0,0.0,140.0,0.0
oct19,Gadag,19,10241.0,42.0,9720.0,381.0,0.0,140.0,0.0
oct20,Gadag,38,10279.0,45.0,9765.0,374.0,0.0,140.0,0.0
oct21,Gadag,40,10319.0,49.0,9814.0,365.0,0.0,140.0,0.0
oct22,Gadag,37,10356.0,48.0,9862.0,354.0,0.0,140.0,0.0
oct24,Gadag,14,10382.0,33.0,9944.0,298.0,0.0,140.0,0.0
oct25,Gadag,22,10404.0,35.0,9979.0,285.0,0.0,140.0,0.0
oct26,Gadag,4,10408.0,41.0,10020.0,248.0,0.0,140.0,0.0
oct27,Gadag,15,10423.0,33.0,10053.0,230.0,0.0,140.0,0.0
oct28,Gadag,22,10445.0,23.0,10076.0,229.0,0.0,140.0,0.0
oct29,Gadag,12,10457.0,41.0,10117.0,200.0,0.0,140.0,0.0
