date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
sep26,Hassana,239.0,15216.0,256.0,12345.0,2603.0,2.0,268.0,0.0
sep27,Hassana,408.0,15624.0,144.0,12489.0,2861.0,6.0,274.0,0.0
sep28,Hassana,320.0,15944.0,128.0,12617.0,3049.0,4.0,278.0,0.0
sep29,Hassana,475.0,16419.0,148.0,12765.0,3366.0,10.0,288.0,0.0
sep30,Hassana,446.0,16865.0,268.0,13033.0,3537.0,7.0,295.0,0.0
oct01,Hassana,383,17248.0,315.0,13348.0,3602.0,3.0,298.0,0.0
oct02,Hassana,315,17563.0,211.0,13559.0,3700.0,6.0,304.0,0.0
oct03,Hassana,460,18023.0,291.0,13850.0,3863.0,6.0,310.0,0.0
oct04,Hassana,307,18330.0,411.0,14261.0,3756.0,3.0,313.0,0.0
oct05,Hassana,537,18867.0,245.0,14506.0,4044.0,4.0,317.0,0.0
oct06,Hassana,235,19102.0,217.0,14723.0,4060.0,2.0,319.0,0.0
oct07,Hassana,471,19573.0,386.0,15109.0,4140.0,5.0,324.0,0.0
oct08,Hassana,441,20014.0,359.0,15468.0,4220.0,2.0,326.0,0.0
oct09,Hassana,489,20503.0,456.0,15924.0,4253.0,0.0,326.0,0.0
oct10,Hassana,455,20958.0,424.0,16348.0,4278.0,6.0,332.0,0.0
oct11,Hassana,463,21421.0,420.0,16768.0,4319.0,2.0,334.0,0.0
oct12,Hassana,278,21699.0,295.0,17063.0,4299.0,3.0,337.0,0.0
oct13,Hassana,238,21937.0,575.0,17638.0,3952.0,10.0,347.0,0.0
oct14,Hassana,227,22164.0,361.0,17999.0,3817.0,1.0,348.0,0.0
oct15,Hassana,440,22604.0,627.0,18626.0,3630.0,0.0,348.0,0.0
oct16,Hassana,195,22799.0,297.0,18923.0,3525.0,3.0,351.0,0.0
oct17,Hassana,220,23019.0,481.0,19404.0,3261.0,3.0,354.0,0.0
oct18,Hassana,257,23276.0,429.0,19833.0,3087.0,2.0,356.0,0.0
oct19,Hassana,105,23381.0,507.0,20340.0,2685.0,0.0,356.0,0.0
oct20,Hassana,249,23630.0,361.0,20701.0,2571.0,2.0,358.0,0.0
oct21,Hassana,140,23770.0,389.0,21090.0,2319.0,3.0,361.0,0.0
oct22,Hassana,95,23865.0,295.0,21385.0,2116.0,3.0,364.0,0.0
oct24,Hassana,136,24110.0,210.0,21862.0,1882.0,0.0,366.0,0.0
oct25,Hassana,103,24213.0,415.0,22277.0,1570.0,0.0,366.0,0.0
oct26,Hassana,98,24311.0,1524.0,23801.0,143.0,1.0,367.0,0.0
oct27,Hassana,114,24425.0,0.0,23801.0,257.0,0.0,367.0,0.0
oct28,Hassana ***,127,24552.0,231.0,22908.0,1277.0,0.0,367.0,0.0
oct29,Hassana,114,24666.0,101.0,23009.0,1287.0,3.0,370.0,0.0
oct30,Hassana,116,24782.0,244.0,23253.0,1159.0,0.0,370.0,0.0
oct31,Hassana,173,24955.0,137.0,23390.0,1195.0,0.0,370.0,0.0
dec01,Hassana,50,27071.0,44.0,26287.0,398.0,2.0,386.0,0.0
dec02,Hassana,42,27113.0,63.0,26350.0,377.0,0.0,386.0,0.0
dec03,Hassana,34,27147.0,34.0,26384.0,376.0,1.0,387.0,0.0
dec04,Hassana,49,27196.0,36.0,26420.0,389.0,0.0,387.0,0.0
dec05,Hassana,36,27232.0,47.0,26467.0,378.0,0.0,387.0,0.0
dec06,Hassana,41,27273.0,30.0,26497.0,389.0,0.0,387.0,0.0
dec07,Hassana,43,27316.0,43.0,26540.0,389.0,0.0,387.0,0.0
dec08,Hassana,49,27365.0,40.0,26580.0,398.0,0.0,387.0,0.0
dec09,Hassana,31,27396.0,40.0,26620.0,389.0,0.0,387.0,0.0
dec10,Hassana,42,27438.0,49.0,26669.0,382.0,0.0,387.0,0.0
dec11,Hassana,45,27483.0,41.0,26710.0,386.0,0.0,387.0,0.0
dec12,Hassana,26,27509.0,32.0,26742.0,380.0,0.0,387.0,0.0
dec13,Hassana,20,27529.0,49.0,26791.0,351.0,0.0,387.0,0.0
dec14,Hassana,29,27558.0,35.0,26826.0,344.0,1.0,388.0,0.0
dec15,Hassana,27,27585.0,39.0,26865.0,331.0,1.0,389.0,0.0
dec16,Hassana,34,27619.0,40.0,26905.0,325.0,0.0,389.0,0.0
dec17,Hassana,24,27643.0,47.0,26952.0,302.0,0.0,389.0,0.0
dec18,Hassana,46,27689.0,31.0,26983.0,317.0,0.0,389.0,0.0
dec19,Hassana,18,27707.0,60.0,27043.0,275.0,0.0,389.0,0.0
dec20,Hassana,23,27730.0,46.0,27089.0,252.0,0.0,389.0,0.0
dec21,Hassana,32,27762.0,25.0,27114.0,258.0,1.0,390.0,0.0
dec22,Hassana,27,27789.0,20.0,27134.0,264.0,1.0,391.0,0.0
dec23,Hassana,26,27815.0,27.0,27161.0,261.0,2.0,393.0,0.0
dec24,Hassana,27,27842.0,26.0,27187.0,262.0,0.0,393.0,0.0
dec25,Hassana,43,27885.0,32.0,27219.0,273.0,0.0,393.0,0.0
dec26,Hassana,16,27901.0,24.0,27243.0,265.0,0.0,393.0,0.0
dec27,Hassana,34,27935.0,45.0,27288.0,254.0,0.0,393.0,0.0
dec28,Hassana,9,27944.0,15.0,27303.0,248.0,0.0,393.0,0.0
dec29,Hassana,25,27969.0,23.0,27326.0,250.0,0.0,393.0,0.0
dec30,Hassana,31,28000.0,32.0,27358.0,249.0,0.0,393.0,0.0
dec31,Hassana,6,28006.0,25.0,27383.0,230.0,0.0,393.0,0.0
jan01,Hassana,20,28026.0,26.0,27409.0,224.0,0.0,393.0,0.0
jan02,Hassana,7,28033.0,25.0,27434.0,206.0,0.0,393.0,0.0
jan03,Hassana,18,28051.0,41.0,27475.0,183.0,0.0,393.0,0.0
jan04,Hassana,27,28078.0,15.0,27490.0,195.0,0.0,393.0,0.0
jan05,Hassana,33,28111.0,34.0,27524.0,194.0,0.0,393.0,0.0
jan06,Hassana,24,28135.0,8.0,27532.0,210.0,0.0,393.0,0.0
jan07,Hassana,25,28160.0,23.0,27555.0,212.0,0.0,393.0,0.0
jan08,Hassana,15,28175.0,27.0,27582.0,200.0,0.0,393.0,0.0
jan09,Hassana,31,28206.0,26.0,27608.0,205.0,0.0,393.0,0.0
jan10,Hassana,23,28229.0,7.0,27615.0,221.0,0.0,393.0,0.0
jan11,Hassana,16,28245.0,16.0,27631.0,221.0,0.0,393.0,0.0
jan12,Hassana,32,28277.0,25.0,27656.0,228.0,0.0,393.0,0.0
jan13,Hassana,18,28295.0,57.0,27713.0,189.0,0.0,393.0,0.0
jan14,Hassana,12,28307.0,23.0,27736.0,178.0,0.0,393.0,0.0
jan15,Hassana,5,28312.0,25.0,27761.0,158.0,0.0,393.0,0.0
jan16,Hassana,11,28323.0,15.0,27776.0,154.0,0.0,393.0,0.0
jan17,Hassana,8,28331.0,31.0,27807.0,131.0,0.0,393.0,0.0
jan18,Hassana,7,28338.0,23.0,27830.0,114.0,1.0,394.0,0.0
jan19,Hassana,10,28348.0,16.0,27846.0,108.0,0.0,394.0,0.0
jan20,Hassana,10,28358.0,35.0,27881.0,83.0,0.0,394.0,0.0
jan21,Hassana,16,28374.0,15.0,27896.0,84.0,0.0,394.0,0.0
jan22,Hassana,6,28380.0,12.0,27908.0,78.0,0.0,394.0,0.0
jan23,Hassana,19,28399.0,16.0,27924.0,81.0,0.0,394.0,0.0
jan24,Hassana,15,28414.0,8.0,27932.0,88.0,0.0,394.0,0.0
jan25,Hassana,10,28424.0,7.0,27939.0,91.0,0.0,394.0,0.0
jan26,Hassana,14,28438.0,10.0,27949.0,95.0,0.0,394.0,0.0
jan27,Hassana,15,28453.0,9.0,27958.0,101.0,0.0,394.0,0.0
jan28,Hassana,12,28465.0,22.0,27980.0,91.0,0.0,394.0,0.0
jan29,Hassana,7.0,28472.0,7.0,27987.0,91.0,0.0,394.0,0.0
jan30,Hassana,9,28481.0,11.0,27998.0,89.0,0.0,394.0,0.0
jan31,Hassana,13,28494.0,15.0,28013.0,87.0,0.0,394.0,0.0
feb01,Hassana,13,28507.0,10.0,28023.0,90.0,0.0,394.0,0.0
feb02,Hassana,10,28517.0,13.0,28036.0,87.0,0.0,394.0,0.0
feb03,Hassana,3.0,28520.0,15.0,28051.0,74.0,1.0,395.0,0.0
feb04,Hassana,14.0,28534.0,13.0,28064.0,75.0,0.0,395.0,0.0
feb05,Hassana,6.0,28540.0,6.0,28070.0,75.0,0.0,395.0,0.0
feb06,Hassana,16,28556.0,10.0,28080.0,81.0,0.0,395.0,0.0
feb07,Hassana,11,28567.0,12.0,28092.0,80.0,0.0,395.0,0.0
feb08,Hassana,14,28581.0,10.0,28102.0,84.0,0.0,395.0,0.0
feb09,Hassana,8,28589.0,9.0,28111.0,83.0,0.0,395.0,0.0
feb10,Hassana,10,28599.0,4.0,28115.0,89.0,0.0,395.0,0.0
feb11,Hassana,9.0,28608.0,2.0,28117.0,96.0,0.0,395.0,0.0
feb12,Hassana,10.0,28618.0,14.0,28131.0,92.0,0.0,395.0,0.0
feb13,Hassana,4,28622.0,6.0,28137.0,90.0,0.0,395.0,0.0
feb14,Hassana,7,28629.0,16.0,28153.0,81.0,0.0,395.0,0.0
feb15,Hassana,14,28643.0,11.0,28164.0,84.0,0.0,395.0,0.0
feb16,Hassana,6,28649.0,15.0,28179.0,75.0,0.0,395.0,0.0
feb17,Hassana,0.0,28649.0,7.0,28186.0,68.0,0.0,395.0,0.0
feb18,Hassana,5.0,28654.0,10.0,28196.0,63.0,0.0,395.0,0.0
feb19,Hassana,7,28661.0,0.0,28196.0,70.0,0.0,395.0,0.0
feb20,Hassana,17,28678.0,5.0,28201.0,82.0,0.0,395.0,0.0
feb21,Hassana,4,28682.0,4.0,28205.0,82.0,0.0,395.0,0.0
feb22,Hassana,4,28686.0,10.0,28215.0,76.0,0.0,395.0,0.0
feb23,Hassana,9,28695.0,3.0,28218.0,82.0,0.0,395.0,0.0
feb24,Hassana,7,28702.0,7.0,28225.0,82.0,0.0,395.0,0.0
feb25,Hassana,7,28709.0,17.0,28242.0,72.0,0.0,395.0,0.0
feb26,Hassana,10,28719.0,3.0,28245.0,78.0,1.0,396.0,0.0
feb27,Hassana,8,28727.0,4.0,28249.0,82.0,0.0,396.0,0.0
feb28,Hassana,11,28738.0,6.0,28255.0,87.0,0.0,396.0,0.0
