District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,1,13888,2,13680,72,0,136,0
Ballari,53,39682,9,38842,242,0,598,0
Belagavi,36,27343,24,26786,213,0,344,0
Bengaluru Rural,46,19400,12,18805,432,0,163,0
Bengaluru Urban,2004,428173,786,407709,15882,7,4581,1
Bidar,63,8545,44,7813,547,0,181,4
Chamarajanagara,9,7068,5,6906,31,0,120,11
Chikkaballapura,17,14010,13,13790,101,0,118,1
Chikkamagaluru,8,14196,2,13961,96,0,139,0
Chitradurga,12,15118,18,14960,89,0,69,0
Dakshina Kannada,68,35562,52,34248,572,0,740,2
Davanagere,7,22578,7,22262,52,0,264,0
Dharwada,60,22838,25,21969,243,0,626,0
Gadag,14,11150,5,10946,63,0,141,0
Hassana,65,29324,29,28532,393,0,399,0
Haveri,2,11048,1,10841,17,0,190,0
Kalaburagi,159,23558,32,22266,952,1,340,0
Kodagu,14,6336,14,6179,84,0,73,0
Kolara,9,10451,10,10099,174,0,178,0
Koppala,20,14018,1,13682,56,0,280,0
Mandya,34,20118,11,19773,192,0,153,0
Mysuru,114,55447,56,53815,583,2,1049,0
Raichuru,13,14438,6,14187,93,0,158,0
Ramanagara,3,7481,7,7377,27,0,77,0
Shivamogga,33,22727,11,22219,159,0,349,0
Tumakuru,59,26739,44,25819,523,1,397,0
Udupi,115,25061,27,24056,814,1,191,0
Uttara Kannada,11,14899,2,14635,85,0,179,0
Vijayapura,24,14993,26,14588,198,0,207,0
Yadagiri,9,10787,4,10674,52,0,61,0
Others*,0,36,0,33,0,0,3,0
