District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bengaluru Urban,1950.0,45453,647.0,11405.0,33156,29.0,891.0,1
Ballari,579.0,4090,17.0,1557.0,2464,0.0,69.0,0
Mysuru,230.0,2867,15.0,823.0,1932,5.0,112.0,0
Bengaluru Rural,213.0,1633,0.0,247.0,1377,0.0,9.0,0
Dakshina Kannada,199.0,4806,147.0,2058.0,2642,7.0,104.0,2
Udupi,169.0,3387,125.0,2122.0,1251,0.0,14.0,0
Dharwada,165.0,3190,56.0,1222.0,1873,6.0,95.0,0
Hassana,164.0,1672,0.0,753.0,877,3.0,42.0,0
Belagavi,163.0,2149,173.0,642.0,1461,6.0,46.0,0
Kalaburagi,152.0,3864,132.0,2198.0,1602,6.0,64.0,0
Vijayapura,132.0,2295,143.0,1724.0,546,1.0,25.0,0
Raichuru,131.0,1702,22.0,816.0,868,0.0,18.0,0
Davanagere,89.0,1423,57.0,867.0,520,3.0,36.0,0
Uttara Kannada,85.0,1746,91.0,897.0,833,2.0,16.0,0
Chikkaballapura,81.0,1430,37.0,585.0,814,2.0,30.0,1
Bidar,77.0,1866,32.0,1228.0,567,0.0,67.0,4
Mandya,64.0,1191,25.0,808.0,373,1.0,10.0,0
Gadag,61.0,1004,26.0,354.0,628,2.0,22.0,0
Chikkamagaluru,61.0,679,5.0,374.0,287,1.0,18.0,0
Yadagiri,56.0,1988,46.0,1574.0,412,0.0,2.0,0
Chitradurga,53.0,401,0.0,134.0,261,0.0,6.0,0
Kolara,49.0,911,8.0,358.0,533,0.0,20.0,0
Haveri,47.0,759,5.0,457.0,279,0.0,23.0,0
Tumakuru,46.0,985,0.0,312.0,632,5.0,41.0,0
Bagalakote,41.0,1266,153.0,630.0,598,2.0,38.0,0
Koppala,40.0,706,29.0,459.0,232,0.0,15.0,0
Shivamogga,39.0,1161,67.0,491.0,649,1.0,21.0,0
Chamarajanagara,28.0,505,20.0,270.0,229,0.0,6.0,0
Kodagu,20.0,342,10.0,246.0,91,0.0,5.0,0
Ramanagara,15.0,634,0.0,195.0,429,0.0,10.0,0
Others*,0.0,36,0.0,32.0,1,0.0,3.0,0
