District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bengaluru Urban,1975.0,22944,463.0,5455.0,17051,60.0,437.0,1
Dharwada,139.0,1398,32.0,482.0,872,5.0,44.0,0
Ballari,136.0,2023,61.0,1102.0,874,0.0,47.0,0
Mysuru,99.0,1190,5.0,503.0,640,6.0,47.0,0
Vijayapura,80.0,976,0.0,654.0,303,0.0,19.0,0
"DakshinaKannada",76.0,2520,21.0,907.0,1566,0.0,45.0,2
Kalaburagi,67.0,2380,1.0,1520.0,823,0.0,37.0,0
Udupi,52.0,1787,22.0,1371.0,413,0.0,3.0,0
Yadagiri,49.0,1501,144.0,1038.0,462,0.0,1.0,0
Uttara Kannada,48.0,746,47.0,308.0,430,3.0,8.0,0
Belagavi,41.0,602,0.0,362.0,226,0.0,14.0,0
Gadag,39.0,370,16.0,194.0,167,0.0,9.0,0
Bidar,35.0,1138,55.0,667.0,418,0.0,51.0,2
Davanagere,35.0,633,15.0,483.0,128,0.0,22.0,0
Bagalakote,34.0,548,0.0,209.0,319,3.0,20.0,0
Chikkaballapura,32.0,490,35.0,249.0,225,2.0,15.0,1
Mandya,31.0,787,19.0,552.0,234,1.0,1.0,0
Shivamogga,29.0,559,9.0,238.0,310,1.0,11.0,0
Raichuru,26.0,814,8.0,483.0,319,2.0,12.0,0
Hassana,25.0,739,14.0,451.0,266,0.0,22.0,0
Tumakuru,24.0,552,25.0,172.0,364,1.0,16.0,0
Kodagu,23.0,218,0.0,68.0,147,0.0,3.0,0
Kolara,15.0,332,8.0,132.0,198,0.0,2.0,0
Koppala,14.0,357,23.0,136.0,216,0.0,5.0,0
Chikkamagaluru,13.0,170,8.0,105.0,58,1.0,7.0,0
Chitradurga,12.0,133,0.0,74.0,58,1.0,1.0,0
Bengaluru Rural,10.0,409,0.0,46.0,356,0.0,7.0,0
Chamarajanagara,8.0,196,17.0,110.0,83,0.0,3.0,0
Haveri,6.0,313,0.0,182.0,124,0.0,7.0,0
Ramanagara,3.0,392,28.0,181.0,202,1.0,9.0,0
Others*,0.0,36,0.0,32.0,1,0.0,3.0,0
