District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bengaluru Urban,1148,12509,418,2228,10103,,177,1
Dakshina Kannada,183,1534,0,650,859,,23,2
Dharwada,89,757,23,276,461,,20,0
Kalaburagi,66,1816,22,1351,435,,30,0
Ballari,59,1447,30,627,780,,40,0
Mysuru,59,587,18,324,249,,14,0
Bengaluru Rural,37,323,0,46,270,,7,0
Ramanagara,34,315,0,116,192,,7,0
Chikkaballapura,32,300,3,194,96,,9,1
Udupi,31,1420,7,1178,239,,3,0
Haveri,31,213,8,66,145,,2,0
Bidar,29,879,1,562,268,,49,0
Belagavi,27,441,29,342,92,,7,0
Hassana,26,593,97,370,210,,13,0
Bagalakote,24,313,9,150,156,,7,0
Tumakuru,24,292,1,68,214,,10,0
Chikkamagaluru,23,125,19,71,52,,2,0
Mandya,20,606,0,381,225,,0,0
Uttara Kannada,19,489,2,172,316,,1,0
Davanagere,18,383,13,324,46,,13,0
Raichuru,17,615,4,442,167,,6,0
Shivamogga,17,335,4,141,190,,4,0
Kolara,16,206,1,90,114,,2,0
Yadagiri,11,1027,3,872,154,,1,0
Koppala,11,155,7,86,67,,2,0
Gadag,5,237,26,163,70,,4,0
Vijayapura,4,620,2,444,163,,13,0
Chitradurga,2,92,12,64,28,,0,0
Chamarajanagara,0,120,7,31,89,,0,0
Kodagu,0,92,12,15,76,,1,0
Others*,0,36,0,32,1,,3,0
