District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,7,13535,10,13302,97,0,136,0
Ballari,22,38291,20,37513,195,0,583,0
Belagavi,38,25740,13,25127,272,0,341,0
Bengaluru Rural,32,17721,25,17195,380,1,146,0
Bengaluru Urban,758,371962,208,348861,18938,6,4162,1
Bidar,12,7097,8,6869,56,0,168,4
Chamarajanagara,13,6394,16,6190,77,0,116,11
Chikkaballapura,16,12156,19,11892,150,0,113,1
Chikkamagaluru,11,13272,17,12939,195,0,138,0
Chitradurga,40,13690,69,13336,289,0,65,0
Dakshina Kannada,35,32029,66,30877,433,2,717,2
Davanagere,23,21660,18,21178,219,0,263,0
Dharwada,16,21443,8,20709,132,1,602,0
Gadag,10,10769,3,10570,58,0,141,0
Hassana,34,27147,34,26384,376,1,387,0
Haveri,4,10787,26,10340,258,0,189,0
Kalaburagi,26,20527,27,19978,229,0,320,0
Kodagu,7,5321,14,5199,54,0,68,0
Kolara,32,9228,30,8924,134,1,170,0
Koppala,0,13693,1,13370,45,0,278,0
Mandya,75,18731,24,18254,331,0,146,0
Mysuru,53,50848,89,49567,280,1,1001,0
Raichuru,27,13869,19,13487,226,0,156,0
Ramanagara,2,7244,4,7116,53,0,75,0
Shivamogga,20,21606,13,21048,210,0,348,0
Tumakuru,68,23501,41,22674,459,0,368,0
Udupi,26,22744,18,22351,206,0,187,0
Uttara Kannada,20,13841,17,13507,163,0,171,0
Vijayapura,12,13826,24,13518,106,0,202,0
Yadagiri,7,10405,13,10276,68,0,61,0
Others*,0,36,0,33,0,0,3,0
