District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,1,13646,13,13474,36,0,136,0
Ballari,41,38729,28,37882,253,1,594,0
Belagavi,15,26107,12,25560,205,0,342,0
Bengaluru Rural,19,18132,30,17648,333,2,151,0
Bengaluru Urban***,585,383816,686,370387,9148,8,4280,1
Bidar,9,7209,5,6964,71,0,170,4
Chamarajanagara,3,6673,8,6434,109,0,119,11
Chikkaballapura,58,12769,30,12425,227,0,116,1
Chikkamagaluru,8,13604,11,13339,126,0,139,0
Chitradurga,10,14134,5,13872,194,0,68,0
Dakshina Kannada,46,32659,47,31556,367,0,734,2
Davanagere,20,21925,11,21519,142,0,264,0
Dharwada,24,21755,6,21019,130,0,606,0
Gadag,1,10867,1,10698,28,0,141,0
Hassana,27,27789,20,27134,264,1,391,0
Haveri,4,10942,12,10705,47,0,190,0
Kalaburagi,36,20933,11,20381,230,1,322,0
Kodagu,18,5649,27,5442,136,1,71,0
Kolara,19,9610,18,9314,122,0,174,0
Koppala,8,13832,11,13459,94,0,279,0
Mandya,10,19269,14,18913,209,0,147,0
Mysuru,67,51914,38,50464,444,0,1006,0
Raichuru,9,14116,5,13841,117,0,158,0
Ramanagara,7,7355,4,7225,54,0,76,0
Shivamogga,16,21899,15,21370,181,0,348,0
Tumakuru,47,24260,35,23495,389,0,376,0
Udupi,15,22976,7,22710,78,0,188,0
Uttara Kannada,6,14134,7,13854,105,0,175,0
Vijayapura,8,14082,12,13768,110,0,204,0
Yadagiri,4,10561,7,10456,44,0,61,0
Others*,0,36,0,33,0,0,3,0
