District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,7,13588,10,13379,73,0,136,0
Ballari,27,38434,9,37641,206,1,587,0
Belagavi,18,25899,12,25300,258,0,341,0
Bengaluru Rural,35,17862,28,17396,319,0,147,0
Bengaluru Urban,701,376592,4549,358553,13820,8,4218,1
Bidar,2,7113,2,6908,31,0,170,4
Chamarajanagara,22,6507,28,6263,117,0,116,11
Chikkaballapura,22,12364,18,12032,217,0,114,1
Chikkamagaluru,9,13445,31,13106,201,0,138,0
Chitradurga,22,13850,25,13543,241,0,66,0
Dakshina Kannada,30,32243,29,31155,358,2,728,2
Davanagere,15,21739,12,21340,136,0,263,0
Dharwada,9,21573,30,20841,127,1,605,0
Gadag,3,10818,6,10613,64,0,141,0
Hassana,42,27438,49,26669,382,0,387,0
Haveri,10,10874,2,10593,92,0,189,0
Kalaburagi,26,20673,14,20145,207,0,321,0
Kodagu,13,5406,7,5259,79,0,68,0
Kolara,13,9372,15,9055,144,0,173,0
Koppala,4,13727,6,13410,39,0,278,0
Mandya,46,18973,47,18475,351,0,147,0
Mysuru,53,51268,27,49909,356,0,1003,0
Raichuru,10,13984,11,13624,203,0,157,0
Ramanagara,13,7287,3,7158,54,0,75,0
Shivamogga,5,21723,12,21178,197,0,348,0
Tumakuru,36,23817,44,22984,462,0,371,0
Udupi,15,22843,12,22517,139,0,187,0
Uttara Kannada,12,13958,18,13649,137,0,172,0
Vijayapura,16,13906,16,13619,85,0,202,0
Yadagiri,2,10489,4,10317,111,0,61,0
Others*,0,36,0,33,0,0,3,0
