District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,4,13572,7,13355,81,0,136,0
Ballari,22,38392,15,37620,186,1,586,0
Belagavi,28,25867,45,25264,262,0,341,0
Bengaluru Rural,16,17803,28,17344,313,0,146,0
Bengaluru Urban,638,375163,432,351497,19468,7,4197,1
Bidar,3,7109,8,6904,31,1,170,4
Chamarajanagara,15,6473,6,6229,117,0,116,11
Chikkaballapura,50,12308,16,11999,194,1,114,1
Chikkamagaluru,46,13424,9,13057,229,0,138,0
Chitradurga,52,13787,19,13473,248,0,66,0
"DakshinaKannada***",29,32179,47,31045,408,2,724,2
Davanagere,12,21718,24,21314,141,0,263,0
Dharwada,11,21550,17,20798,149,0,603,0
Gadag,7,10812,6,10603,68,0,141,0
Hassana,49,27365,40,26580,398,0,387,0
Haveri,4,10852,7,10461,202,0,189,0
Kalaburagi,24,20635,32,20111,204,0,320,0
Kodagu,5,5385,11,5238,79,0,68,0
Kolara,32,9343,21,9018,152,0,173,0
Koppala,5,13714,4,13400,36,0,278,0
Mandya,18,18887,32,18408,332,0,147,0
Mysuru,65,51144,47,49809,333,1,1002,0
Raichuru,25,13965,31,13600,208,0,157,0
Ramanagara,6,7266,9,7150,41,0,75,0
Shivamogga,13,21685,25,21146,191,0,348,0
Tumakuru,46,23748,47,22913,465,0,370,0
Udupi,11,22813,38,22492,134,0,187,0
Uttara Kannada,22,13931,26,13614,145,0,172,0
Vijayapura,6,13880,10,13591,87,0,202,0
Yadagiri,16,10478,1,10304,113,0,61,0
Others*,0,36,0,33,0,0,3,0
