District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,0,13645,3,13461,48,0,136,0
Ballari,36,38688,25,37854,241,1,593,0
Belagavi,13,26092,24,25548,202,0,342,0
Bengaluru Rural,19,18113,19,17618,346,0,149,0
Bengaluru Urban,363,383231,709,369701,9256,5,4273,1
Bidar,8,7200,10,6959,67,0,170,4
Chamarajanagara,15,6670,4,6426,114,0,119,11
Chikkaballapura,26,12711,42,12395,199,0,116,1
Chikkamagaluru,4,13596,20,13328,129,0,139,0
Chitradurga,19,14124,54,13867,189,0,68,0
Dakshina Kannada,24,32613,30,31509,368,0,734,2
Davanagere,7,21905,14,21508,133,0,264,0
Dharwada,15,21731,8,21013,112,0,606,0
Gadag,5,10866,6,10697,28,0,141,0
Hassana,32,27762,25,27114,258,1,390,0
Haveri,4,10938,5,10693,55,0,190,0
Kalaburagi,10,20897,20,20370,206,0,321,0
Kodagu,13,5631,10,5415,146,0,70,0
Kolara,31,9591,24,9296,121,0,174,0
Koppala,5,13824,4,13448,97,0,279,0
Mandya,24,19259,23,18899,213,0,147,0
Mysuru,40,51847,53,50426,415,0,1006,0
Raichuru,4,14107,13,13836,113,0,158,0
Ramanagara,5,7348,5,7221,51,0,76,0
Shivamogga,9,21883,8,21355,180,0,348,0
Tumakuru,10,24213,42,23460,377,0,376,0
Udupi,3,22961,25,22703,70,0,188,0
Uttara Kannada,10,14128,10,13847,106,0,175,0
Vijayapura,15,14074,22,13756,114,0,204,0
Yadagiri,3,10557,4,10449,47,0,61,0
Others*,0,36,0,33,0,0,3,0
