District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,8,13604,6,13397,71,0,136,0
Ballari,23,38477,19,37675,214,1,588,0
Belagavi,26,25935,14,25323,270,0,342,0
Bengaluru Rural,23,17920,21,17432,341,0,147,0
Bengaluru Urban,606,377857,923,360724,12902,6,4230,1
Bidar,16,7131,4,6915,42,0,170,4
Chamarajanagara,20,6535,12,6298,110,0,116,11
Chikkaballapura,39,12455,20,12089,251,0,114,1
Chikkamagaluru,12,13482,18,13132,212,0,138,0
Chitradurga,51,13941,22,13597,277,0,67,0
Dakshina Kannada,53,32325,43,31236,355,2,732,2
Davanagere,13,21779,43,21393,122,0,264,0
Dharwada,10,21601,27,20881,114,0,606,0
Gadag,6,10826,11,10632,53,0,141,0
Hassana,26,27509,32,26742,380,0,387,0
Haveri,7,10882,11,10607,86,0,189,0
Kalaburagi,13,20703,21,20180,202,0,321,0
Kodagu,19,5441,11,5292,81,0,68,0
Kolara,10,9401,27,9102,125,1,174,0
Koppala,12,13745,3,13418,49,0,278,0
Mandya,25,19024,63,18611,266,0,147,0
Mysuru,59,51371,39,49992,376,0,1003,0
Raichuru,5,14005,23,13662,186,0,157,0
Ramanagara,2,7294,3,7163,55,0,76,0
Shivamogga,18,21745,15,21207,190,0,348,0
Tumakuru,30,23874,39,23052,448,1,374,0
Udupi,21,22884,27,22559,138,0,187,0
Uttara Kannada,20,13990,11,13680,138,0,172,0
Vijayapura,18,13938,13,13641,94,0,203,0
Yadagiri,12,10504,10,10337,106,0,61,0
Others*,0,36,0,33,0,0,3,0
