District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,3,13607,11,13408,63,0,136,0
Ballari,36,38513,14,37689,236,0,588,0
Belagavi,9,25944,20,25343,259,0,342,0
Bengaluru Rural,27,17947,19,17451,349,0,147,0
Bengaluru Urban,672,378529,1507,362231,12064,3,4233,1
Bidar,5,7136,6,6921,41,0,170,4
Chamarajanagara,19,6554,13,6311,116,0,116,11
Chikkaballapura,55,12510,42,12131,264,0,114,1
Chikkamagaluru,14,13496,35,13167,191,0,138,0
Chitradurga,33,13974,13,13610,297,0,67,0
Dakshina Kannada,36,32361,29,31265,361,1,733,2
Davanagere,11,21790,12,21405,121,0,264,0
Dharwada,9,21610,13,20894,110,0,606,0
Gadag,0,10826,4,10636,49,0,141,0
Hassana,20,27529,49,26791,351,0,387,0
Haveri,10,10892,1,10608,95,0,189,0
Kalaburagi,11,20714,19,20199,194,0,321,0
Kodagu,30,5471,6,5298,105,0,68,0
Kolara,14,9415,23,9125,116,0,174,0
Koppala,8,13753,3,13421,54,0,278,0
Mandya,15,19039,27,18638,254,0,147,0
Mysuru,42,51413,37,50029,380,1,1004,0
Raichuru,29,14034,24,13686,191,0,157,0
Ramanagara,5,7299,5,7168,55,0,76,0
Shivamogga,4,21749,24,21231,170,0,348,0
Tumakuru,28,23902,30,23082,446,0,374,0
Udupi,11,22895,14,22573,135,0,187,0
Uttara Kannada,22,14012,13,13693,147,0,172,0
Vijayapura,11,13949,16,13657,89,0,203,0
Yadagiri,7,10511,7,10344,106,0,61,0
Others*,0,36,0,33,0,0,3,0
