District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,6,13617,4,13420,61,0,136,0
Ballari,17,38547,27,37736,222,0,589,0
Belagavi,25,25980,19,25397,241,0,342,0
Bengaluru Rural,17,17971,26,17501,322,1,148,0
Bengaluru Urban,673,379571,980,364787,10542,3,4241,1
Bidar,11,7151,4,6930,47,0,170,4
Chamarajanagara,8,6569,14,6351,91,0,116,11
Chikkaballapura,56,12597,33,12203,278,1,115,1
Chikkamagaluru,18,13529,15,13196,195,0,138,0
Chitradurga,10,13989,15,13640,281,1,68,0
Dakshina Kannada,38,32421,37,31350,336,0,733,2
Davanagere,7,21815,14,21428,123,0,264,0
Dharwada,7,21631,13,20933,92,0,606,0
Gadag,8,10836,11,10653,42,0,141,0
Hassana,27,27585,39,26865,331,1,389,0
Haveri,9,10904,24,10651,63,1,190,0
Kalaburagi,20,20746,17,20232,193,0,321,0
Kodagu,7,5512,2,5308,135,1,69,0
Kolara,26,9466,23,9166,126,0,174,0
Koppala,20,13778,2,13425,75,0,278,0
Mandya,19,19079,30,18713,219,0,147,0
Mysuru,35,51504,64,50149,349,0,1006,0
Raichuru,15,14055,44,13741,157,0,157,0
Ramanagara,11,7312,9,7189,47,0,76,0
Shivamogga,11,21773,21,21266,159,0,348,0
Tumakuru,44,23982,35,23152,455,1,375,0
Udupi,6,22913,16,22602,124,0,187,0
Uttara Kannada,16,14046,18,13719,153,1,174,0
Vijayapura,17,13981,8,13684,94,0,203,0
Yadagiri,1,10529,30,10376,92,0,61,0
Others*,0,36,0,33,0,0,3,0
