District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,59,12817,258,12015,673,1,129,0
Ballari,218,36439,178,33994,1928,2,517,0
Belagavi,61,24229,201,22877,1024,1,328,0
Bengaluru Rural,280,15252,120,11645,3487,0,120,0
Bengaluru Urban,2807,318366,7683,256267,58431,36,3667,1
Bidar,6,6831,19,6571,93,0,163,4
Chamarajanagara,29,5687,191,5095,474,0,107,11
Chikkaballapura,237,10589,156,9323,1160,1,105,1
Chikkamagaluru,80,11845,126,10894,815,2,136,0
Chitradurga,79,11627,237,10755,818,2,54,0
"DakshinaKannada",154,28936,248,25534,2747,3,653,2
Davanagere,58,19936,314,18720,963,1,253,0
Dharwada,133,20245,158,18628,1070,3,547,0
Gadag,37,10356,48,9862,354,0,140,0
Hassana,95,23865,295,21385,2116,3,364,0
Haveri,97,9996,67,9327,488,0,181,0
Kalaburagi,55,19286,103,18284,697,1,305,0
Kodagu,49,4576,88,3994,522,1,60,0
Kolara,52,7884,148,6976,765,2,143,0
Koppala,49,13107,49,12262,573,5,272,0
Mandya,191,15773,339,13993,1643,1,137,0
Mysuru,308,46172,1352,41238,3998,4,936,0
Raichuru,31,13004,60,12443,415,0,146,0
Ramanagara***,16,6633,50,6234,333,1,66,0
Shivamogga,93,20086,153,18347,1402,0,337,0
Tumakuru,184,19655,282,16762,2569,2,324,0
Udupi,141,21270,267,19572,1521,1,177,0
Uttara Kannada,60,12299,199,11072,1076,0,151,0
Vijayapura,83,11882,93,11254,439,1,189,0
Yadagiri,36,9872,68,9479,333,0,60,0
Others*,0,36,0,33,0,0,3,0
