District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,114,12758,185,11757,873,0,128,0
Ballari,145,36221,210,33816,1890,2,515,0
Belagavi,65,24168,235,22676,1165,1,327,0
Bengaluru Rural,366,14972,74,11525,3327,2,120,0
Bengaluru Urban,2717,315559,3844,248584,63343,53,3631,1
Bidar,14,6825,30,6552,106,0,163,4
Chamarajanagara,33,5658,38,4904,636,0,107,11
Chikkaballapura,116,10352,165,9167,1080,0,104,1
Chikkamagaluru,73,11765,178,10768,863,0,134,0
Chitradurga,74,11548,175,10518,978,1,52,0
"DakshinaKannada",215,28782,302,25286,2844,9,650,2
Davanagere,304,19878,137,18406,1220,1,252,0
Dharwada,134,20112,116,18470,1098,2,544,0
Gadag,40,10319,49,9814,365,0,140,0
Hassana,140,23770,389,21090,2319,3,361,0
Haveri,23,9899,25,9260,458,0,181,0
Kalaburagi,83,19231,44,18181,746,3,304,0
Kodagu,51,4527,88,3906,562,0,59,0
Kolara,49,7832,152,6828,863,0,141,0
Koppala,52,13058,109,12213,578,1,267,0
Mandya,208,15582,104,13654,1792,0,136,0
Mysuru,220,45864,1147,39886,5046,3,932,0
Raichuru,33,12973,60,12383,444,0,146,0
Ramanagara,23,6617,372,6517,35,1,65,0
Shivamogga,177,19993,110,18194,1462,1,337,0
Tumakuru,143,19471,479,16480,2669,4,322,0
Udupi,117,21129,191,19305,1648,0,176,0
Uttara Kannada,74,12239,105,10873,1215,0,151,0
Vijayapura,38,11799,75,11161,450,1,188,0
Yadagiri,31,9836,101,9411,365,0,60,0
Others*,0,36,0,33,0,0,3,0
