District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,76,11364,108,10609,639,0,116,0
Ballari,217,33980,357,30785,2708,2,487,0
Belagavi,269,21029,68,19011,1703,5,315,0
Bengaluru Rural,242,11763,86,9415,2246,2,102,0
Bengaluru Urban,5009,272371,3045,206976,62104,57,3290,1
Bidar,12,6652,20,6101,386,2,161,4
Chamarajanagara,72,4911,292,3975,841,0,84,11
Chikkaballapura,154,8589,285,7149,1349,4,90,1
Chikkamagaluru,129,10161,167,8628,1405,1,128,0
Chitradurga,418,9260,201,7220,2002,0,38,0
Dakshina Kannada,376,25948,268,20854,4496,2,596,2
Davanagere,450,17987,107,15583,2157,4,247,0
Dharwada,150,18543,161,15412,2616,3,515,0
Gadag,68,9810,84,9084,590,1,136,0
Hassana,489,20503,456,15924,4253,0,326,0
Haveri,75,9344,286,8176,998,0,170,0
Kalaburagi,144,18326,357,16056,1980,0,290,0
Kodagu,31,3376,199,2814,515,1,47,0
Kolara,156,6815,151,5273,1435,4,107,0
Koppala,65,12300,159,10930,1124,0,246,0
Mandya,250,13094,248,11221,1755,1,118,0
Mysuru,826,41058,472,32729,7467,10,862,0
Raichuru,73,12404,152,11121,1142,1,141,0
Ramanagara,125,6103,96,5139,908,0,56,0
Shivamogga,140,18391,264,15332,2744,3,315,0
Tumakuru,366,16288,231,12651,3354,6,283,0
Udupi,177,18987,225,16917,1906,1,164,0
Uttara Kannada,196,10912,296,8804,1981,3,127,0
Vijayapura,92,10639,156,9436,1030,1,173,0
Yadagiri,66,9325,94,8252,1017,0,56,0
Others*,0,36,0,33,0,0,3,0
