District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,57,12891,150,12340,420,1,131,0
Ballari,129,36683,201,34376,1786,2,521,0
Belagavi,73,24382,158,23178,876,0,328,0
Bengaluru Rural,102,15506,60,11800,3584,1,122,0
Bengaluru Urban,2251,323305,3005,263607,55983,26,3714,1
Bidar,7,6841,5,6585,89,0,163,4
Chamarajanagara,34,5761,60,5311,329,3,110,11
Chikkaballapura,78,10775,80,9559,1108,0,107,1
Chikkamagaluru,85,12032,98,11103,793,0,136,0
Chitradurga,84,11810,118,10999,755,1,56,0
"DakshinaKannada",136,29401,300,26124,2615,3,660,2
Davanagere,52,20286,335,19184,849,0,253,0
Dharwada,93,20430,103,18873,1006,2,551,0
Gadag,14,10382,33,9944,298,0,140,0
Hassana,136,24110,210,21862,1882,0,366,0
Haveri,30,10058,49,9432,444,1,182,0
Kalaburagi,71,19419,111,18475,638,1,306,0
Kodagu,33,4646,105,4198,388,0,60,0
Kolara,45,7976,78,7198,631,2,147,0
Koppala,49,13183,56,12363,548,0,272,0
Mandya,163,16104,214,14418,1548,0,138,0
Mysuru,173,46565,830,42962,2658,6,945,0
Raichuru,25,13099,50,12530,422,0,147,0
Ramanagara,22,6666,45,6332,268,0,66,0
Shivamogga,79,20212,119,18572,1300,1,340,0
Tumakuru,232,19987,207,17223,2435,1,329,0
Udupi,81,21401,173,19927,1296,0,178,0
Uttara Kannada,48,12460,92,11264,1045,0,151,0
Vijayapura,62,12036,81,11407,438,1,191,0
Yadagiri,27,9935,27,9558,317,0,60,0
Others*,0,36,0,33,0,0,3,0
