District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,51,12983,72,12524,328,0,131,0
Ballari,47,36862,168,34719,1618,2,525,0
Belagavi,24,24452,163,23392,732,0,328,0
Bengaluru Rural,87,15827,142,12103,3602,0,122,0
Bengaluru Urban,1603,327376,4031,274397,49224,20,3754,1
Bidar,3,6851,13,6608,76,0,163,4
Chamarajanagara,26,5809,13,5354,334,0,110,11
Chikkaballapura,56,10881,161,9943,830,0,107,1
Chikkamagaluru,43,12111,78,11267,708,0,136,0
Chitradurga,86,11995,56,11166,773,0,56,0
"DakshinaKannada",153,29693,262,26597,2427,4,667,2
Davanagere,124,20482,81,19385,843,1,254,0
Dharwada,44,20539,139,19075,910,3,554,0
Gadag,4,10408,41,10020,248,0,140,0
Hassana,98,24311,1524,23801,143,1,367,0
Haveri,39,10106,43,9570,354,0,182,0
Kalaburagi,37,19518,34,18574,638,0,306,0
Kodagu,39,4720,82,4353,306,1,61,0
Kolara,75,8100,59,7309,641,1,150,0
Koppala,22,13257,43,12449,535,0,273,0
Mandya,56,16246,289,14806,1300,1,140,0
Mysuru,139,46844,410,43738,2157,2,949,0
Raichuru,37,13166,34,12625,394,0,147,0
Ramanagara,10,6699,20,6380,252,1,67,0
Shivamogga,3,20247,99,18844,1062,1,341,0
Tumakuru,57,20185,283,17661,2193,1,331,0
Udupi,44,21562,199,20301,1082,1,179,0
Uttara Kannada,51,12557,87,11402,1003,1,152,0
Vijayapura,63,12148,59,11564,393,0,191,0
Yadagiri,9,9976,30,9598,317,1,61,0
Others*,0,36,0,33,0,0,3,0
