District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,121,11190,150,10167,910,3,113,0
Ballari,258,33515,123,30153,2880,0,482,0
Belagavi,186,20575,529,18750,1515,1,310,0
Bengaluru Rural,189,11153,197,9086,1968,2,99,0
Bengaluru Urban,5000,262241,2057,200426,58624,55,3190,1
Bidar,57,6613,35,6040,410,1,159,4
Chamarajanagara,104,4771,179,3516,1161,1,83,11
Chikkaballapura,115,8335,215,6620,1628,0,86,1
Chikkamagaluru,186,9890,478,8190,1574,1,126,0
Chitradurga,217,8627,151,6981,1608,0,38,0
Dakshina Kannada,447,25276,1214,20000,4686,7,588,2
Davanagere,141,17299,116,15390,1666,0,243,0
Dharwada,154,18272,74,15137,2625,2,510,0
Gadag,72,9700,63,8889,676,0,135,0
Hassana,471,19573,386,15109,4140,5,324,0
Haveri,57,9161,300,7767,1224,2,170,0
Kalaburagi,180,18054,204,15635,2134,1,285,0
Kodagu,103,3251,55,2528,677,1,46,0
Kolara,104,6530,1,5046,1386,4,98,0
Koppala,98,12138,17,10669,1223,0,246,0
Mandya,207,12638,141,10672,1851,0,115,0
Mysuru,979,39590,1317,31694,7056,9,840,0
Raichuru,129,12220,236,10750,1331,0,139,0
Ramanagara,77,5887,92,4957,875,3,55,0
Shivamogga,203,18001,116,14826,2865,0,310,0
Tumakuru,250,15413,215,12128,3013,5,272,0
Udupi,209,18571,185,16313,2096,2,162,0
Uttara Kannada,462,10503,818,8173,2208,7,122,0
Vijayapura,73,10437,89,9167,1099,1,171,0
Yadagiri,98,9192,79,8094,1044,0,54,0
Others*,0,36,0,33,0,0,3,0
