District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,98,11288,334,10501,671,3,116,0
Ballari,248,33763,275,30428,2850,3,485,0
Belagavi,185,20760,193,18943,1507,0,310,0
Bengaluru Rural,368,11521,243,9329,2092,1,100,0
Bengaluru Urban,5121,267362,3505,203931,60197,43,3233,1
Bidar,27,6640,41,6081,396,0,159,4
Chamarajanagara,68,4839,167,3683,1061,1,84,11
Chikkaballapura,100,8435,244,6864,1484,0,86,1
Chikkamagaluru,142,10032,271,8461,1444,1,127,0
Chitradurga,215,8842,38,7019,1785,0,38,0
Dakshina Kannada,296,25572,586,20586,4390,6,594,2
Davanagere,238,17537,86,15476,1818,0,243,0
Dharwada,121,18393,114,15251,2630,2,512,0
Gadag,42,9742,111,9000,607,0,135,0
Hassana,441,20014,359,15468,4220,2,326,0
Haveri,108,9269,123,7890,1209,0,170,0
Kalaburagi,128,18182,64,15699,2193,5,290,0
Kodagu,94,3345,87,2615,684,0,46,0
Kolara,129,6659,76,5122,1434,5,103,0
Koppala,97,12235,102,10771,1218,0,246,0
Mandya,206,12844,301,10973,1754,2,117,0
Mysuru,642,40232,563,32257,7123,12,852,0
Raichuru,111,12331,219,10969,1222,1,140,0
Ramanagara,91,5978,86,5043,879,1,56,0
Shivamogga,250,18251,242,15068,2871,2,312,0
Tumakuru,509,15922,292,12420,3225,5,277,0
Udupi,239,18810,379,16692,1955,1,163,0
Uttara Kannada,213,10716,335,8508,2084,2,124,0
Vijayapura,110,10547,113,9280,1095,1,172,0
Yadagiri,67,9259,64,8158,1045,2,56,0
Others*,0,36,0,33,0,0,3,0
