District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,20,13082,50,12746,205,0,131,0
Ballari,82,37151,196,35444,1172,4,535,0
Belagavi,57,24642,85,23796,513,2,333,0
Bengaluru Rural,72,16134,187,12725,3282,0,127,0
Bengaluru Urban,1811,334848,5788,293466,37534,27,3847,1
Bidar,6,6892,10,6662,63,0,163,4
Chamarajanagara,31,5939,11,5573,243,0,112,11
Chikkaballapura,143,11208,68,10594,503,1,110,1
Chikkamagaluru,68,12330,77,11698,496,0,136,0
Chitradurga,122,12298,71,11509,730,0,59,0
"DakshinaKannada",137,30147,198,27640,1829,3,676,2
Davanagere,56,20728,70,19692,779,1,257,0
Dharwada,43,20717,102,19535,618,2,564,0
Gadag,17,10474,11,10128,205,1,141,0
Hassana,116,24782,244,23253,1159,0,370,0
Haveri,7,10203,33,9769,249,2,185,0
Kalaburagi,50,19663,77,18852,499,0,312,0
Kodagu,48,4839,40,4516,260,0,63,0
Kolara,62,8280,74,7634,493,0,153,0
Koppala,27,13342,45,12711,358,0,273,0
Mandya,125,16688,143,15570,977,1,141,0
Mysuru,118,47523,236,44786,1781,1,956,0
Raichuru,9,13248,28,12792,307,0,149,0
Ramanagara,9,6800,20,6499,231,0,70,0
Shivamogga,34,20578,175,19318,916,1,344,0
Tumakuru,132,20674,203,18571,1765,3,338,0
Udupi,44,21823,97,20838,803,0,182,0
Uttara Kannada,51,12816,92,11849,812,0,155,0
Vijayapura,75,12459,72,11790,475,0,194,0
Yadagiri,17,10054,18,9751,242,0,61,0
Others*,0,36,0,33,0,0,3,0
