District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,0,13765,0,13620,9,0,136,0
Ballari,1,39175,2,38537,41,0,597,0
Belagavi,7,26749,4,26334,73,0,342,0
Bengaluru Rural,5,18706,8,18490,58,0,158,0
Bengaluru Urban,250,400565,288,392263,3897,2,4404,1
Bidar,18,7457,1,7216,65,0,172,4
Chamarajanagara,1,6937,1,6788,18,0,120,11
Chikkaballapura,6,13646,9,13493,35,0,117,1
Chikkamagaluru,3,13967,7,13808,20,0,139,0
Chitradurga,16,14773,13,14548,156,0,69,0
Dakshina Kannada,30,34005,27,32949,316,0,738,2
Davanagere,6,22365,8,22045,56,0,264,0
Dharwada,9,22223,7,21557,52,0,614,0
Gadag,0,10992,2,10845,6,0,141,0
Hassana,11,28567,12,28092,80,0,395,0
Haveri,0,11001,1,10809,2,0,190,0
Kalaburagi,20,21724,7,21220,176,0,328,0
Kodagu,7,6083,29,5914,97,0,72,0
Kolara,3,10022,2,9803,42,0,177,0
Koppala,0,13933,0,13645,9,0,279,0
Mandya,4,19695,1,19509,35,0,151,0
Mysuru,38,53576,18,52355,194,1,1027,0
Raichuru,1,14280,1,14105,17,0,158,0
Ramanagara,1,7418,1,7334,7,0,77,0
Shivamogga,4,22368,9,21974,45,0,349,0
Tumakuru,23,25362,15,24661,316,0,385,0
Udupi,12,23397,9,23157,51,0,189,0
Uttara Kannada,3,14628,7,14394,56,0,178,0
Vijayapura,7,14434,2,14207,21,0,206,0
Yadagiri,1,10669,2,10599,9,0,61,0
Others*,0,36,0,33,0,0,3,0
