District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,0.0,13767.0,0,13627.0,4.0,0,136.0,0.0
Ballari,0.0,39200.0,4,38583.0,20.0,0,597.0,0.0
Belagavi,11.0,26823.0,1,26403.0,78.0,0,342.0,0.0
Bengaluru Rural,4.0,18781.0,9,18550.0,71.0,0,160.0,0.0
Bengaluru Urban,256.0,403027.0,121,394472.0,4113.0,4,4441.0,1.0
Bidar,3.0,7488.0,6,7296.0,16.0,0,172.0,4.0
Chamarajanagara,1.0,6956.0,4,6814.0,11.0,0,120.0,11.0
Chikkaballapura,3.0,13693.0,3,13560.0,15.0,0,117.0,1.0
Chikkamagaluru,0.0,14001.0,3,13835.0,27.0,0,139.0,0.0
Chitradurga,3.0,14861.0,7,14723.0,69.0,0,69.0,0.0
Dakshina Kannada,20.0,34266.0,19,33276.0,250.0,0,738.0,2.0
Davanagere,4.0,22411.0,1,22101.0,46.0,0,264.0,0.0
Dharwada,6.0,22288.0,4,21620.0,52.0,1,616.0,0.0
Gadag,3.0,11007.0,2,10859.0,7.0,0,141.0,0.0
Hassana,5.0,28654.0,10,28196.0,63.0,0,395.0,0.0
Haveri,0.0,11011.0,0,10814.0,7.0,0,190.0,0.0
Kalaburagi,14.0,21853.0,29,21394.0,130.0,0,329.0,0.0
Kodagu,0.0,6118.0,8,6006.0,40.0,0,72.0,0.0
Kolara,2.0,10069.0,3,9852.0,40.0,0,177.0,0.0
Koppala,1.0,13938.0,0,13655.0,4.0,0,279.0,0.0
Mandya,6.0,19760.0,2,19563.0,46.0,0,151.0,0.0
Mysuru,12.0,53834.0,23,52662.0,143.0,0,1029.0,0.0
Raichuru,2.0,14293.0,1,14118.0,17.0,0,158.0,0.0
Ramanagara,3.0,7427.0,0,7340.0,10.0,0,77.0,0.0
Shivamogga,6.0,22436.0,4,22020.0,67.0,0,349.0,0.0
Tumakuru,24.0,25531.0,14,24821.0,323.0,1,387.0,0.0
Udupi,4.0,23494.0,14,23258.0,47.0,0,189.0,0.0
Uttara Kannada,7.0,14678.0,4,14456.0,44.0,0,178.0,0.0
Vijayapura,3.0,14478.0,10,14252.0,20.0,0,206.0,0.0
Yadagiri,3.0,10681.0,0,10608.0,12.0,0,61.0,0.0
Others*,0.0,36.0,0,33.0,0.0,0,3.0,0.0
