District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,234,17285,201,15122,2014,3,149,0
Ballari,1282,51612,312,41980,8905,11,727,0
Belagavi,514,32495,282,29081,3054,0,360,0
Bengaluru Rural,818,29503,211,21637,7645,0,221,0
Bengaluru Urban,26756,756740,5123,491306,259058,93,6375,1
Bidar,447,17581,210,13887,3438,6,252,4
Chamarajanagara,474,11109,239,8556,2390,6,152,11
Chikkaballapura,579,20530,313,16080,4311,2,138,1
Chikkamagaluru,542,18070,200,15373,2542,2,155,0
Chitradurga,144,17260,66,16064,1122,0,74,0
Dakshina Kannada,1205,45109,380,37866,6486,1,755,2
Davanagere,438,26090,150,23893,1920,6,277,0
Dharwada,703,30439,424,25985,3751,7,703,0
Gadag,122,12702,94,11838,723,0,141,0
Hassana,709,39292,408,32261,6533,19,497,1**
Haveri,90,12237,53,11397,620,2,220,0
Kalaburagi,1256,39212,788,30352,8394,6,466,0
Kodagu,609,11059,331,7298,3676,5,85,0
Kolara,845,18551,640,14508,3828,3,215,0
Koppala,256,17423,125,14837,2304,0,282,0
Mandya,1348,30655,814,24713,5726,5,216,0
Mysuru,3500,76775,1078,64795,10775,13,1205,0
Raichuru,733,21350,199,15599,5585,0,166,0
Ramanagara,286,10620,146,8784,1726,5,110,0
Shivamogga,673,27513,204,23842,3291,6,380,0
Tumakuru,1801,45729,804,32727,12534,6,468,0
Udupi,660,31542,359,28687,2657,2,198,0
Uttara Kannada,426,18837,175,16521,2108,5,208,0
Vijayapura,521,21596,473,18043,3315,3,238,0
Yadagiri,325,14190,82,11844,2259,0,87,0
Others*,0,36,0,33,0,0,3,0
