District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,46,14173,26,13841,195,1,137,0
Ballari,103,40560,21,39256,701,0,603,0
Belagavi,74,28059,46,27117,592,3,350,0
Bengaluru Rural,117,20503,42,19359,974,1,170,0
Bengaluru Urban,7584,481982,1184,425930,51236,27,4815,1
Bidar,290,11181,142,9212,1773,1,192,4
Chamarajanagara,49,7390,12,7001,257,0,121,11
Chikkaballapura,64,14428,9,13971,337,0,119,1
Chikkamagaluru,41,14647,43,14175,331,0,141,0
Chitradurga,33,15473,23,15243,160,0,70,0
Dakshina Kannada,133,36785,26,34970,1072,0,741,2
Davanagere,50,22927,26,22409,254,0,264,0
Dharwada,150,23843,75,22525,681,0,637,0
Gadag,19,11352,12,11102,109,0,141,0
Hassana,170,30608,78,29157,1042,0,409,0
Haveri,22,11162,5,10873,98,0,191,0
Kalaburagi,291,26204,236,23865,1975,2,364,0
Kodagu,39,6552,13,6330,149,0,73,0
Kolara,41,11166,38,10602,382,0,182,0
Koppala,32,14321,13,13803,238,0,280,0
Mandya,51,20983,69,20294,526,0,163,0
Mysuru,277,58211,198,55224,1904,3,1083,0
Raichuru,103,14846,21,14336,352,0,158,0
Ramanagara,33,7777,9,7445,255,0,77,0
Shivamogga,39,23224,24,22468,405,1,351,0
Tumakuru,150,28682,42,26488,1787,0,407,0
Udupi,75,25972,68,25419,361,0,192,0
Uttara Kannada,73,15636,120,15060,394,0,182,0
Vijayapura,63,15553,12,14891,451,1,211,0
Yadagiri,38,11054,5,10758,234,0,62,0
Others*,0,36,0,33,0,0,3,0
