District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,71,14469,13,14043,288,0,138,0
Ballari,279,41498,78,39526,1360,1,612,0
Belagavi,120,28502,112,27378,771,0,353,0
Bengaluru Rural,358,21435,49,19720,1538,1,177,0
Bengaluru Urban,9917,522438,2071,437801,79616,57,5020,1
Bidar,326,12823,159,10138,2479,2,202,4
Chamarajanagara,68,7659,29,7173,352,0,123,11
Chikkaballapura,180,15013,38,14107,784,1,121,1
Chikkamagaluru,73,14900,32,14293,466,0,141,0
Chitradurga,57,15647,8,15388,189,0,70,0
"DakshinaKannada",256,37562,92,35405,1414,0,741,2
Davanagere,85,23212,25,22534,414,0,264,0
Dharwada,176,24548,93,22893,1011,0,644,0
Gadag,34,11504,20,11188,175,0,141,0
Hassana,244,31433,103,29589,1431,0,413,0
Haveri,35,11321,14,10908,221,0,192,0
Kalaburagi,488,28317,246,25037,2905,3,375,0
Kodagu,33,6712,9,6407,232,0,73,0
Kolara,109,11643,75,10955,505,0,183,0
Koppala,158,14694,10,13892,522,0,280,0
Mandya,137,21616,76,20598,854,1,164,0
Mysuru,415,60163,253,56395,2665,5,1103,0
Raichuru,108,15217,29,14454,605,0,158,0
Ramanagara,100,8075,7,7525,470,1,80,0
Shivamogga,67,23595,50,22652,590,1,353,0
Tumakuru,432,30335,145,27004,2919,2,412,0
Udupi,101,26470,35,25686,591,1,193,0
Uttara Kannada,72,15977,82,15362,430,1,185,0
Vijayapura,207,16245,63,15064,968,0,213,0
Yadagiri,153,11450,15,10837,550,1,63,0
Others*,0,36,0,33,0,0,3,0
