District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,283,16416,79,14702,1571,1,143,0
Ballari,907,48328,272,41047,6589,18,692,0
Belagavi,219,31076,253,28552,2164,1,360,0
Bengaluru Rural,599,26824,200,21142,5467,3,215,0
Bengaluru Urban,17550,687751,3899,475525,206223,97,6002,1
Bidar,328,16685,504,13138,3308,5,235,4
Chamarajanagara,212,9852,77,7899,1806,2,136,11
Chikkaballapura,544,18723,128,15216,3374,1,132,1
Chikkamagaluru,275,16989,89,14935,1907,0,147,0
Chitradurga,145,16880,98,15881,928,0,71,0
"DakshinaKannada",486,42065,225,37024,4290,3,749,2
Davanagere,300,25260,178,23405,1587,1,268,0
Dharwada,423,28655,340,24948,3020,5,687,0
Gadag,119,12319,60,11585,593,0,141,0
Hassana,503,36958,246,31201,5289,5,468,0
Haveri,99,12000,40,11265,525,3,210,0
Kalaburagi,772,36098,541,28275,7377,7,446,0
Kodagu,373,9525,85,6831,2614,0,80,0
Kolara,548,15976,587,12911,2858,2,207,0
Koppala,382,16503,74,14549,1672,0,282,0
Mandya,737,27433,435,22792,4448,0,193,0
Mysuru,2042,70297,679,61880,7248,9,1169,0
Raichuru,736,19478,85,15088,4225,1,165,0
Ramanagara,169,9987,124,8362,1529,6,96,0
Shivamogga,256,26135,125,23318,2451,2,366,0
Tumakuru,1196,41559,473,30401,10710,3,448,0
Udupi,477,29650,272,27563,1893,0,194,0
Uttara Kannada,205,17733,113,16170,1364,1,199,0
Vijayapura,531,20273,377,16902,3142,4,229,0
Yadagiri,414,13311,135,11510,1727,0,74,0
Others*,0,36,0,33,0,0,3,0
