District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,22,13994,8,13752,106,0,136,0
Ballari,40,40046,27,39010,437,1,599,0
Belagavi,17,27594,25,26948,302,0,344,0
Bengaluru Rural,34,19959,43,18995,799,0,165,0
Bengaluru Urban,3728,450759,1026,415309,30782,18,4667,1
Bidar,264,9980,59,8273,1518,1,185,4
Chamarajanagara,30,7171,4,6938,102,0,120,11
Chikkaballapura,15,14095,8,13894,82,0,118,1
Chikkamagaluru,32,14434,35,14046,247,0,141,0
Chitradurga,27,15274,21,15094,111,0,69,0
Dakshina Kannada,56,36054,72,34686,626,0,740,2
Davanagere,9,22704,7,22314,126,0,264,0
Dharwada,55,23292,43,22233,429,0,630,0
Gadag,13,11263,15,11027,95,0,141,0
Hassana,72,29891,29,28814,670,0,407,0
Haveri,4,11079,5,10856,32,1,191,0
Kalaburagi,181,24720,121,22955,1414,2,351,0
Kodagu,15,6423,11,6270,80,0,73,0
Kolara,82,10769,24,10339,250,1,180,0
Koppala,20,14151,7,13715,156,0,280,0
Mandya,48,20520,32,19967,394,1,159,0
Mysuru,165,56689,30,54458,1167,3,1064,0
Raichuru,17,14586,12,14252,176,0,158,0
Ramanagara,16,7555,1,7401,77,0,77,0
Shivamogga,24,22952,14,22328,274,1,350,0
Tumakuru,139,27637,55,26129,1105,1,403,0
Udupi,59,25574,53,24996,386,0,192,0
Uttara Kannada,51,15189,34,14746,263,0,180,0
Vijayapura,27,15160,25,14788,164,1,208,0
Yadagiri,17,10884,10,10709,113,1,62,0
Others*,0,36,0,33,0,0,3,0
