District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,302,17051,189,14921,1984,1,146,0
Ballari,896,50330,305,41668,7946,16,716,0
Belagavi,545,31981,156,28799,2822,0,360,0
Bengaluru Rural,1129,28685,138,21426,7038,4,221,0
Bengaluru Urban,19637,729984,6128,486183,237518,143,6282,1
Bidar,180,17134,238,13677,3207,5,246,4
Chamarajanagara,359,10635,212,8317,2161,7,146,11
Chikkaballapura,545,19951,304,15767,4047,3,136,1
Chikkamagaluru,242,17528,84,15173,2202,1,153,0
Chitradurga,126,17116,62,15998,1044,2,74,0
"DakshinaKannada",1175,43904,206,37486,5662,1,754,2
Davanagere,196,25652,182,23743,1638,0,271,0
Dharwada,427,29736,431,25561,3479,5,696,0
Gadag,132,12580,87,11744,695,0,141,0
Hassana,624,38583,322,31853,6252,9,478,0
Haveri,111,12147,49,11344,585,6,218,0
Kalaburagi,957,37956,537,29564,7932,11,460,0
Kodagu,537,10450,77,6967,3403,0,80,0
Kolara,536,17706,265,13868,3626,1,212,0
Koppala,220,17167,59,14712,2173,0,282,0
Mandya,939,29307,791,23899,5197,9,211,0
Mysuru,1219,73275,955,63717,8366,12,1192,0
Raichuru,628,20617,191,15400,5051,0,166,0
Ramanagara,183,10334,138,8638,1591,4,105,0
Shivamogga,372,26840,168,23638,2828,3,374,0
Tumakuru,1195,43928,725,31923,11543,9,462,0
Udupi,568,30882,439,28328,2358,2,196,0
Uttara Kannada,377,18411,103,16346,1862,4,203,0
Vijayapura,408,21075,417,17570,3270,4,235,0
Yadagiri,259,13865,184,11762,2016,8,87,0
Others*,0,36,0,33,0,0,3,0
