District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,125,14845,12,14245,462,0,138,0
Ballari,406,42745,77,39829,2294,5,622,0
Belagavi,186,29120,43,27637,1128,0,355,0
Bengaluru Rural,513,22635,170,20214,2225,13,196,0
Bengaluru Urban,13782,570035,2035,449889,114833,92,5312,1
Bidar,151,14120,263,10962,2940,7,214,4
Chamarajanagara,99,8104,40,7329,637,1,127,11
Chikkaballapura,217,15774,86,14386,1262,1,125,1
Chikkamagaluru,115,15306,29,14429,734,1,143,0
Chitradurga,121,16024,11,15443,511,0,70,0
"DakshinaKannada",482,38843,88,35824,2275,0,742,2
Davanagere,136,23802,43,22691,847,0,264,0
Dharwada,288,25656,160,23374,1626,4,656,0
Gadag,73,11732,20,11265,326,0,141,0
Hassana,410,32735,88,30010,2293,0,432,0
Haveri,37,11485,20,10968,324,0,193,0
Kalaburagi,818,30879,167,25775,4713,7,391,0
Kodagu,65,6976,17,6477,424,1,75,0
Kolara,284,12392,105,11310,896,1,186,0
Koppala,103,15083,32,13999,802,0,282,0
Mandya,413,22869,113,20954,1747,2,168,0
Mysuru,699,63018,336,57745,4147,4,1126,0
Raichuru,243,15912,21,14558,1195,1,159,0
Ramanagara,114,8484,72,7784,618,1,82,0
Shivamogga,202,24247,46,22828,1063,2,356,0
Tumakuru,1055,33043,231,27737,4885,4,421,0
Udupi,109,27012,112,26076,742,1,194,0
Uttara Kannada,106,16395,56,15645,561,0,189,0
Vijayapura,358,17386,54,15453,1717,0,216,0
Yadagiri,84,11951,24,10952,931,1,68,0
Others*,0,36,0,33,0,0,3,0
