District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,29,14398,82,14030,230,0,138,0
Ballari,200,41219,38,39448,1160,6,611,0
Belagavi,135,28382,32,27266,763,1,353,0
Bengaluru Rural,171,21077,59,19671,1230,6,176,0
Bengaluru Urban,10497,512521,1807,435730,71827,30,4963,1
Bidar,363,12497,191,9979,2314,2,200,4
Chamarajanagara,39,7591,54,7144,313,0,123,11
Chikkaballapura,127,14833,34,14069,643,0,120,1
Chikkamagaluru,62,14827,17,14261,425,0,141,0
Chitradurga,33,15590,17,15380,140,0,70,0
Dakshina Kannada,166,37306,68,35313,1250,0,741,2
Davanagere,60,23127,21,22509,354,0,264,0
Dharwada,179,24372,84,22800,928,3,644,0
Gadag,34,11470,18,11168,161,0,141,0
Hassana,186,31189,72,29486,1290,4,413,0
Haveri,27,11286,5,10894,200,0,192,0
Kalaburagi,624,27829,189,24791,2666,1,372,0
Kodagu,66,6679,22,6398,208,0,73,0
Kolara,89,11534,94,10884,467,1,183,0
Koppala,118,14536,12,13882,374,0,280,0
Mandya,211,21479,66,20522,794,0,163,0
Mysuru,327,59748,199,56142,2508,5,1098,0
Raichuru,48,15109,13,14425,526,0,158,0
Ramanagara,62,7975,30,7518,378,1,79,0
Shivamogga,74,23528,25,22602,574,1,352,0
Tumakuru,387,29903,159,26859,2634,2,410,0
Udupi,111,26369,59,25651,526,0,192,0
Uttara Kannada,89,15905,52,15280,441,2,184,0
Vijayapura,136,16038,56,15001,824,1,213,0
Yadagiri,88,11297,16,10822,413,0,62,0
Others*,0,36,0,33,0,0,3,0
