District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,8,13952,8,13735,81,0,136,0
Ballari,23,39913,34,38969,346,0,598,0
Belagavi,30,27525,16,26895,286,0,344,0
Bengaluru Rural,54,19770,33,18932,673,0,165,0
Bengaluru Urban,3002,444244,1052,413058,26544,6,4641,1
Bidar,172,9569,51,8139,1242,0,184,4
Chamarajanagara,18,7126,6,6926,69,0,120,11
Chikkaballapura,13,14070,9,13879,72,0,118,1
Chikkamagaluru,36,14385,6,14003,241,0,141,0
Chitradurga,14,15218,11,15049,100,0,69,0
Dakshina Kannada,83,35915,67,34553,620,0,740,2
Davanagere,29,22672,5,22303,105,0,264,0
Dharwada,39,23137,39,22134,375,0,628,0
Gadag,9,11232,13,10997,94,0,141,0
Hassana,59,29715,53,28743,566,3,406,0
Haveri,4,11068,2,10850,28,0,190,0
Kalaburagi,151,24369,93,22751,1272,1,346,0
Kodagu,11,6394,10,6249,72,0,73,0
Kolara,37,10667,39,10277,211,0,179,0
Koppala,32,14121,10,13705,136,0,280,0
Mandya,36,20393,26,19903,332,2,158,0
Mysuru,171,56264,146,54331,872,6,1061,0
Raichuru,19,14546,12,14228,160,0,158,0
Ramanagara,7,7521,1,7395,49,0,77,0
Shivamogga,36,22892,13,22289,254,0,349,0
Tumakuru,167,27391,45,26042,948,1,401,0
Udupi,53,25442,111,24875,375,0,192,0
Uttara Kannada,29,15089,15,14699,210,0,180,0
Vijayapura,18,15117,28,14727,183,0,207,0
Yadagiri,13,10849,5,10690,98,0,61,0
Others*,0,36,0,33,0,0,3,0
