District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,333,16749,30,14732,1872,2,145,0
Ballari,1106,49434,316,41363,7371,8,700,0
Belagavi,360,31436,91,28643,2433,0,360,0
Bengaluru Rural,732,27556,146,21288,6051,2,217,0
Bengaluru Urban,22596,710347,4530,480055,224152,137,6139,1
Bidar,269,16954,301,13439,3270,6,241,4
Chamarajanagara,424,10276,206,8105,2021,3,139,11
Chikkaballapura,683,19406,247,15463,3809,1,133,1
Chikkamagaluru,297,17286,154,15089,2045,5,152,0
Chitradurga,110,16990,55,15936,982,1,72,0
"DakshinaKannada",664,42729,256,37280,4694,4,753,2
Davanagere,196,25456,156,23561,1624,3,271,0
Dharwada,654,29309,182,25130,3488,4,691,0
Gadag,129,12448,72,11657,650,0,141,0
Hassana,1001,37959,330,31531,5959,1,469,0
Haveri,36,12036,30,11295,529,2,212,0
Kalaburagi,901,36999,752,29027,7523,3,449,0
Kodagu,388,9913,59,6890,2943,0,80,0
Kolara,1194,17170,692,13603,3356,4,211,0
Koppala,444,16947,104,14653,2012,0,282,0
Mandya,935,28368,316,23108,5058,9,202,0
Mysuru,1759,72056,882,62762,8114,11,1180,0
Raichuru,511,19989,121,15209,4614,1,166,0
Ramanagara,164,10151,138,8500,1550,5,101,0
Shivamogga,333,26468,152,23470,2627,5,371,0
Tumakuru,1174,42733,797,31198,11082,5,453,0
Udupi,664,30314,326,27889,2231,0,194,0
Uttara Kannada,301,18034,73,16243,1592,0,199,0
Vijayapura,394,20667,251,17153,3283,2,231,0
Yadagiri,295,13606,68,11578,1949,5,79,0
Others*,0,36,0,33,0,0,3,0
