District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,104,14623,59,14158,327,0,138,0
Ballari,238,42091,101,39668,1807,2,616,0
Belagavi,129,28819,61,27541,924,1,354,0
Bengaluru Rural,245,21942,103,19905,1860,0,177,0
Bengaluru Urban,12793,546635,2560,443614,97897,60,5123,1
Bidar,469,13651,17,10251,3191,1,205,4
Chamarajanagara,102,7897,56,7254,506,1,126,11
Chikkaballapura,190,15382,51,14212,1047,0,122,1
Chikkamagaluru,81,15049,38,14360,547,0,142,0
Chitradurga,102,15829,7,15409,350,0,70,0
"DakshinaKannada",272,38143,131,35635,1764,0,742,2
Davanagere,133,23467,39,22606,597,0,264,0
Dharwada,265,25085,81,23089,1347,3,649,0
Gadag,48,11589,19,11226,222,0,141,0
Hassana,348,32005,111,29791,1793,0,421,0
Haveri,43,11412,10,10927,293,0,192,0
Kalaburagi,671,29548,141,25389,3781,0,378,0
Kodagu,44,6814,17,6432,309,0,73,0
Kolara,175,11962,81,11105,673,0,184,0
Koppala,65,14880,18,13922,676,2,282,0
Mandya,338,22177,82,20770,1241,1,166,0
Mysuru,777,61751,254,57036,3601,3,1114,0
Raichuru,133,15441,38,14516,767,0,158,0
Ramanagara,122,8299,24,7649,570,0,80,0
Shivamogga,156,23876,72,22757,765,0,354,0
Tumakuru,494,31336,169,27332,3588,1,416,0
Udupi,152,26740,75,25887,660,0,193,0
Uttara Kannada,104,16183,71,15503,492,2,188,0
Vijayapura,200,16726,91,15279,1232,2,215,0
Yadagiri,74,11677,26,10896,716,2,65,0
Others*,0,36,0,33,0,0,3,0
