District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,105,15325,52,14466,718,0,141,0
Ballari,731,45903,203,40216,5047,3,640,0
Belagavi,313,30209,151,27992,1858,1,359,0
Bengaluru Rural,684,24856,132,20680,3967,3,209,0
Bengaluru Urban,17342,632923,4646,465028,162171,149,5723,1
Bidar,365,15499,304,12054,3217,0,224,4
Chamarajanagara,295,9089,109,7622,1326,1,130,11
Chikkaballapura,506,17301,143,14809,2360,1,131,1
Chikkamagaluru,185,16064,42,14588,1331,1,145,0
Chitradurga,114,16531,58,15650,811,0,70,0
"DakshinaKannada",517,40720,128,36396,3577,2,745,2
Davanagere,254,24613,121,22950,1397,2,266,0
Dharwada,385,27253,238,24036,2546,5,671,0
Gadag,76,12027,51,11401,485,0,141,0
Hassana,823,34940,138,30569,3922,2,449,0
Haveri,92,11724,39,11138,385,3,201,0
Kalaburagi,791,33828,289,26683,6720,8,425,0
Kodagu,196,7764,68,6609,1075,2,80,0
Kolara,373,14225,179,11858,2169,6,198,0
Koppala,266,15687,59,14231,1174,0,282,0
Mandya,688,24953,216,21594,3178,3,181,0
Mysuru,536,65992,637,59926,4922,4,1144,0
Raichuru,497,17490,65,14849,2479,2,162,0
Ramanagara,385,9425,105,8007,1333,0,85,0
Shivamogga,266,25211,102,23063,1786,3,362,0
Tumakuru,1559,38013,314,29390,8188,3,435,0
Udupi,403,28442,177,26756,1492,0,194,0
Uttara Kannada,185,17095,71,15868,1033,2,194,0
Vijayapura,411,18889,159,16007,2659,2,223,0
Yadagiri,95,12370,62,11143,1157,0,70,0
Others*,0,36,0,33,0,0,3,0
