District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,50,14519,57,14099,282,0,138,0
Ballari,355,41853,41,39567,1672,2,614,0
Belagavi,188,28690,102,27480,857,0,353,0
Bengaluru Rural,262,21697,82,19802,1718,0,177,0
Bengaluru Urban,11404,533842,3253,441054,87724,43,5063,1
Bidar,359,13182,96,10234,2740,2,204,4
Chamarajanagara,136,7795,25,7198,461,2,125,11
Chikkaballapura,179,15192,54,14161,908,1,122,1
Chikkamagaluru,68,14968,29,14322,504,1,142,0
Chitradurga,80,15727,14,15402,255,0,70,0
"DakshinaKannada",309,37871,99,35504,1623,1,742,2
Davanagere,122,23334,33,22567,503,0,264,0
Dharwada,272,24820,115,23008,1166,2,646,0
Gadag,37,11541,19,11207,193,0,141,0
Hassana,224,31657,91,29680,1556,8,421,0
Haveri,48,11369,9,10917,260,0,192,0
Kalaburagi,560,28877,211,25248,3251,3,378,0
Kodagu,58,6770,8,6415,282,0,73,0
Kolara,144,11787,69,11024,579,1,184,0
Koppala,121,14815,12,13904,631,0,280,0
Mandya,223,21839,90,20688,986,1,165,0
Mysuru,811,60974,387,56782,3081,8,1111,0
Raichuru,91,15308,24,14478,672,0,158,0
Ramanagara,102,8177,100,7625,472,0,80,0
Shivamogga,125,23720,33,22685,681,1,354,0
Tumakuru,507,30842,159,27163,3264,3,415,0
Udupi,118,26588,126,25812,583,0,193,0
Uttara Kannada,102,16079,70,15432,461,1,186,0
Vijayapura,281,16526,124,15188,1125,0,213,0
Yadagiri,153,11603,33,10870,670,0,63,0
Others*,0,36,0,33,0,0,3,0
