District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,73,14301,36,13904,259,0,138,0
Ballari,168,40860,25,39316,940,0,604,0
Belagavi,42,28140,58,27221,567,1,352,0
Bengaluru Rural,163,20858,73,19523,1165,0,170,0
Bengaluru Urban,5500,493869,4415,431383,57575,55,4910,1
Bidar,198,11844,301,9667,1977,2,196,4
Chamarajanagara,51,7480,11,7040,306,0,123,11
Chikkaballapura,114,14662,11,13993,548,0,120,1
Chikkamagaluru,19,14723,2,14208,374,0,141,0
Chitradurga,45,15540,51,15337,133,0,70,0
Dakshina Kannada,142,37000,76,35148,1109,0,741,2
Davanagere,66,23033,9,22441,328,0,264,0
Dharwada,132,24066,75,22671,757,1,638,0
Gadag,30,11411,16,11133,137,0,141,0
Hassana,150,30871,63,29310,1152,0,409,0
Haveri,17,11215,5,10886,137,1,192,0
Kalaburagi,290,26829,249,24342,2119,4,368,0
Kodagu,14,6590,26,6366,151,0,73,0
Kolara,67,11329,36,10672,475,0,182,0
Koppala,29,14381,42,13869,232,0,280,0
Mandya,114,21183,87,20421,599,0,163,0
Mysuru,492,59065,184,55711,2266,2,1088,0
Raichuru,80,14996,19,14389,449,0,158,0
Ramanagara,37,7878,3,7475,325,0,78,0
Shivamogga,95,23362,36,22540,471,0,351,0
Tumakuru,350,29271,47,26577,2287,0,407,0
Udupi,75,26148,29,25530,426,0,192,0
Uttara Kannada,75,15775,62,15178,415,0,182,0
Vijayapura,105,15780,19,14931,637,1,212,0
Yadagiri,45,11151,13,10788,301,0,62,0
Others*,0,36,0,33,0,0,3,0
