District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,19,13931,2,13714,81,0,136,0
Ballari,25,39856,10,38897,361,0,598,0
Belagavi,46,27460,3,26865,251,0,344,0
Bengaluru Rural,73,19647,19,18878,604,0,165,0
Bengaluru Urban,2906,437733,719,411313,21789,11,4630,1
Bidar,218,9271,120,8024,1059,1,184,4
Chamarajanagara,17,7095,3,6916,48,0,120,11
Chikkaballapura,8,14047,21,13854,74,0,118,1
Chikkamagaluru,51,14302,14,13988,173,0,141,0
Chitradurga,28,15182,10,15028,85,0,69,0
Dakshina Kannada,30,35727,36,34421,564,0,740,2
Davanagere,17,22622,8,22291,67,0,264,0
Dharwada,57,23036,36,22060,348,2,628,0
Gadag,15,11207,10,10971,95,0,141,0
Hassana,67,29554,21,28655,496,0,403,0
Haveri,4,11056,0,10847,19,0,190,0
Kalaburagi,144,24113,103,22525,1244,1,344,0
Kodagu,23,6380,13,6231,76,0,73,0
Kolara,31,10556,25,10198,179,0,179,0
Koppala,9,14083,5,13695,108,0,280,0
Mandya,67,20299,22,19850,293,1,156,0
Mysuru,109,55919,80,54077,787,1,1055,0
Raichuru,21,14500,5,14204,138,0,158,0
Ramanagara,3,7509,3,7385,47,0,77,0
Shivamogga,24,22819,10,22263,207,0,349,0
Tumakuru,102,27082,40,25955,727,1,400,0
Udupi,53,25294,210,24602,500,0,192,0
Uttara Kannada,44,15035,17,14672,183,0,180,0
Vijayapura,18,15069,31,14674,188,0,207,0
Yadagiri,5,10818,3,10683,74,0,61,0
Others*,0,36,0,33,0,0,3,0
