District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,90.0,9229,106.0,7891.0,1240,1.0,98.0,0
Ballari,298.0,29083,175.0,23707.0,4976,8.0,400.0,0
Belagavi,151.0,17810,260.0,15361.0,2180,6.0,269.0,0
Bengaluru Rural,179.0,7711,76.0,5708.0,1929,1.0,74.0,0
Bengaluru Urban,3322.0,194760,2970.0,150348.0,41754,32.0,2657.0,1
Bidar,77.0,5823,51.0,5124.0,546,0.0,149.0,4
Chamarajanagara,69.0,3495,38.0,2724.0,698,0.0,62.0,11
Chikkaballapura,81.0,6460,97.0,5399.0,982,0.0,78.0,1
Chikkamagaluru,129.0,7219,130.0,5595.0,1517,0.0,107.0,0
Chitradurga,0.0,5863,173.0,4302.0,1528,0.0,33.0,0
Dakshina Kannada,380.0,20134,353.0,15103.0,4549,6.0,480.0,2
Davanagere,130.0,14536,171.0,11502.0,2803,0.0,231.0,0
Dharwada,305.0,15878,216.0,13075.0,2344,6.0,459.0,0
Gadag,75.0,8366,150.0,7366.0,881,4.0,119.0,0
Hassana,277.0,13525,544.0,10502.0,2774,6.0,249.0,0
Haveri,44.0,7517,279.0,5912.0,1463,2.0,142.0,0
Kalaburagi,136.0,15579,255.0,12927.0,2394,1.0,258.0,0
Kodagu,32.0,2247,40.0,1840.0,376,0.0,31.0,0
Kolara,105.0,5083,62.0,4155.0,850,0.0,78.0,0
Koppala,337.0,10267,116.0,8099.0,1956,4.0,212.0,0
Mandya,165.0,9166,53.0,7377.0,1696,1.0,93.0,0
Mysuru,481.0,29784,1050.0,24482.0,4611,12.0,691.0,0
Raichuru,132.0,10452,107.0,8564.0,1758,1.0,130.0,0
Ramanagara,57.0,4687,47.0,3988.0,655,0.0,44.0,0
Shivamogga,295.0,13973,347.0,10753.0,2989,6.0,231.0,0
Tumakuru,244.0,10994,201.0,7788.0,2997,1.0,209.0,0
Udupi,295.0,15401,215.0,13700.0,1562,0.0,139.0,0
Uttara Kannada,108.0,8178,140.0,5988.0,2088,2.0,102.0,0
Vijayapura,81.0,8533,102.0,7596.0,791,1.0,146.0,0
Yadagiri,116.0,7748,87.0,6543.0,1156,0.0,49.0,0
Others*,0.0,36,0.0,33.0,0,0.0,3.0,0
