District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,123.0,6639,79.0,5631.0,931,1.0,77.0,0
Ballari,424.0,22591,436.0,17231.0,5087,4.0,273.0,0
Belagavi,454.0,13470,245.0,9388.0,3885,0.0,197.0,0
Bengaluru Rural,160.0,5244,107.0,4299.0,906,7.0,39.0,0
Bengaluru Urban,3189.0,138701,2631.0,96194.0,40440,29.0,2066.0,1
Bidar,56.0,4721,95.0,4121.0,460,0.0,136.0,4
Chamarajanagara,43.0,2525,68.0,1981.0,495,0.0,38.0,11
Chikkaballapura,104.0,4477,74.0,3548.0,863,0.0,65.0,1
Chikkamagaluru,123.0,4505,130.0,3066.0,1360,1.0,79.0,0
Chitradurga,151.0,3326,101.0,1871.0,1430,0.0,25.0,0
Dakshina Kannada,316.0,13795,208.0,10706.0,2705,3.0,382.0,2
Davanagere,222.0,10319,139.0,7623.0,2500,0.0,196.0,0
Dharwada,342.0,12195,203.0,9222.0,2627,9.0,346.0,0
Gadag,183.0,5922,150.0,4159.0,1676,3.0,87.0,0
Hassana,252.0,9055,190.0,5895.0,2963,5.0,197.0,0
Haveri,139.0,4740,100.0,3251.0,1373,4.0,116.0,0
Kalaburagi,195.0,12321,140.0,9840.0,2261,1.0,220.0,0
Kodagu,82.0,1592,18.0,1212.0,359,0.0,21.0,0
Kolara,103.0,3712,78.0,2883.0,765,0.0,64.0,0
Koppala,226.0,7156,149.0,5048.0,1965,8.0,143.0,0
Mandya,239.0,6132,50.0,4039.0,2028,0.0,65.0,0
Mysuru,475.0,19828,237.0,13329.0,6024,8.0,475.0,0
Raichuru,161.0,7802,115.0,6007.0,1698,3.0,97.0,0
Ramanagara,67.0,3516,23.0,2538.0,947,0.0,31.0,0
Shivamogga,251.0,9134,246.0,6048.0,2944,8.0,142.0,0
Tumakuru,132.0,6488,530.0,4646.0,1684,3.0,158.0,0
Udupi,228.0,12156,328.0,9797.0,2254,4.0,105.0,0
Uttara Kannada,182.0,5361,43.0,3937.0,1369,1.0,55.0,0
Vijayapura,131.0,6993,173.0,6189.0,689,2.0,115.0,0
Yadagiri,112.0,5754,36.0,4303.0,1410,0.0,41.0,0
Others*,0.0,36,0.0,33.0,0,0.0,3.0,0
