District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,98.0,6737,99.0,5730.0,929,1.0,78.0,0
Ballari,447.0,23038,409.0,17640.0,5117,8.0,281.0,0
Belagavi,278.0,13748,285.0,9673.0,3872,6.0,203.0,0
Bengaluru Rural,204.0,5448,101.0,4400.0,1005,4.0,43.0,0
Bengaluru Urban,2963.0,141664,1732.0,97926.0,41646,25.0,2091.0,1
Bidar,36.0,4757,35.0,4156.0,458,3.0,139.0,4
Chamarajanagara,56.0,2581,70.0,2051.0,480,1.0,39.0,11
Chikkaballapura,206.0,4683,69.0,3617.0,999,1.0,66.0,1
Chikkamagaluru,223.0,4728,118.0,3184.0,1463,2.0,81.0,0
Chitradurga,92.0,3418,46.0,1917.0,1476,0.0,25.0,0
Dakshina Kannada,428.0,14223,222.0,10928.0,2904,7.0,389.0,2
Davanagere,263.0,10582,125.0,7748.0,2628,10.0,206.0,0
Dharwada,297.0,12492,156.0,9378.0,2758,10.0,356.0,0
Gadag,186.0,6108,165.0,4324.0,1695,2.0,89.0,0
Hassana,340.0,9395,196.0,6091.0,3105,2.0,199.0,0
Haveri,149.0,4889,35.0,3286.0,1487,0.0,116.0,0
Kalaburagi,226.0,12547,237.0,10077.0,2248,2.0,222.0,0
Kodagu,44.0,1636,39.0,1251.0,364,0.0,21.0,0
Kolara,86.0,3798,76.0,2959.0,774,1.0,65.0,0
Koppala,154.0,7310,214.0,5262.0,1904,1.0,144.0,0
Mandya,168.0,6300,103.0,4142.0,2092,1.0,66.0,0
Mysuru,776.0,20604,317.0,13646.0,6472,11.0,486.0,0
Raichuru,169.0,7971,121.0,6128.0,1743,3.0,100.0,0
Ramanagara,73.0,3589,43.0,2581.0,977,0.0,31.0,0
Shivamogga,350.0,9484,416.0,6464.0,2872,6.0,148.0,0
Tumakuru,424.0,6912,142.0,4788.0,1962,4.0,162.0,0
Udupi,187.0,12343,332.0,10129.0,2107,2.0,107.0,0
Uttara Kannada,178.0,5539,135.0,4072.0,1411,1.0,56.0,0
Vijayapura,85.0,7078,123.0,6312.0,649,2.0,117.0,0
Yadagiri,94.0,5848,0.0,4303.0,1504,0.0,41.0,0
Others*,0.0,36,0.0,33.0,0,0.0,3.0,0
