District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,164.0,4314,101.0,3086.0,1173,1.0,55.0,0
Ballari,319.0,14507,346.0,8554.0,5784,6.0,169.0,0
Belagavi,171.0,7965,279.0,4156.0,3679,9.0,130.0,0
Bengaluru Rural,25.0,3528,644.0,2752.0,759,0.0,17.0,0
Bengaluru Urban,2053.0,91864,2190.0,55972.0,34408,39.0,1483.0,1
Bidar,72.0,3649,9.0,2516.0,1021,0.0,108.0,4
Chamarajanagara,61.0,1645,51.0,1194.0,422,0.0,21.0,8
Chikkaballapura,41.0,2937,163.0,2295.0,591,0.0,50.0,1
Chikkamagaluru,92.0,2278,118.0,1413.0,816,2.0,49.0,0
Chitradurga,21.0,1519,117.0,960.0,545,0.0,14.0,0
Dakshina Kannada,144.0,9017,209.0,6645.0,2095,8.0,275.0,2
Davanagere,165.0,5466,212.0,3741.0,1597,0.0,128.0,0
Dharwada,201.0,7855,180.0,5014.0,2602,5.0,239.0,0
Gadag,99.0,3155,104.0,1932.0,1166,0.0,57.0,0
Hassana,250.0,4842,276.0,3025.0,1685,9.0,132.0,0
Haveri,43.0,2527,32.0,1658.0,814,4.0,55.0,0
Kalaburagi,211.0,9036,194.0,6885.0,1981,7.0,170.0,0
Kodagu,18.0,977,1.0,628.0,337,1.0,12.0,0
Kolara,121.0,2515,201.0,1477.0,992,0.0,46.0,0
Koppala,169.0,3669,217.0,2363.0,1243,4.0,63.0,0
Mandya,26.0,3380,82.0,1982.0,1361,1.0,37.0,0
Mysuru,597.0,11132,289.0,6764.0,4059,5.0,309.0,0
Raichuru,110.0,5199,142.0,3273.0,1866,3.0,60.0,0
Ramanagara,85.0,2166,32.0,1462.0,687,0.0,17.0,0
Shivamogga,397.0,4118,64.0,2211.0,1834,4.0,73.0,0
Tumakuru,130.0,3502,212.0,2091.0,1314,2.0,97.0,0
Udupi,268.0,8242,269.0,5509.0,2653,1.0,80.0,0
Uttara Kannada,89.0,3361,39.0,2375.0,953,1.0,33.0,0
Vijayapura,106.0,4976,163.0,3943.0,976,3.0,57.0,0
Yadagiri,69.0,3906,135.0,2653.0,1230,0.0,23.0,0
Others*,0.0,36,0.0,33.0,0,0.0,3.0,0
