District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,163.0,4648,301.0,3651.0,941,0.0,56.0,0
Ballari,537.0,15717,629.0,9683.0,5847,9.0,187.0,0
Belagavi,379.0,8739,267.0,4882.0,3717,3.0,140.0,0
Bengaluru Rural,68.0,3719,63.0,2972.0,726,1.0,21.0,0
Bengaluru Urban,2804.0,96910,2549.0,62041.0,33280,56.0,1588.0,1
Bidar,43.0,3791,151.0,2722.0,946,3.0,119.0,4
Chamarajanagara,111.0,1777,106.0,1352.0,395,0.0,22.0,8
Chikkaballapura,73.0,3092,17.0,2442.0,599,0.0,50.0,1
Chikkamagaluru,100.0,2523,50.0,1599.0,874,1.0,50.0,0
Chitradurga,47.0,1607,79.0,1109.0,484,0.0,14.0,0
Dakshina Kannada,234.0,9530,115.0,6933.0,2307,4.0,288.0,2
Davanagere,228.0,6026,66.0,3849.0,2041,7.0,136.0,0
Dharwada,253.0,8387,351.0,5716.0,2413,9.0,258.0,0
Gadag,149.0,3490,167.0,2305.0,1124,2.0,61.0,0
Hassana,228.0,5247,148.0,3302.0,1806,0.0,139.0,0
Haveri,137.0,2773,29.0,1742.0,970,3.0,61.0,0
Kalaburagi,154.0,9419,247.0,7378.0,1866,3.0,175.0,0
Kodagu,38.0,1031,14.0,667.0,352,0.0,12.0,0
Kolara,86.0,2672,114.0,1758.0,868,0.0,46.0,0
Koppala,133.0,3944,131.0,2617.0,1255,8.0,72.0,0
Mandya,185.0,3739,81.0,2193.0,1507,0.0,39.0,0
Mysuru,562.0,12051,240.0,7302.0,4429,5.0,320.0,0
Raichuru,153.0,5523,159.0,3575.0,1882,2.0,66.0,0
Ramanagara,126.0,2407,120.0,1601.0,789,0.0,17.0,0
Shivamogga,915.0,5351,570.0,2826.0,2447,2.0,78.0,0
Tumakuru,94.0,3642,42.0,2292.0,1244,5.0,106.0,0
Udupi,375.0,9038,181.0,6011.0,2947,0.0,80.0,0
Uttara Kannada,119.0,3560,130.0,2618.0,907,1.0,35.0,0
Vijayapura,107.0,5147,19.0,4182.0,903,2.0,62.0,0
Yadagiri,41.0,4054,65.0,2797.0,1231,0.0,26.0,0
Others*,0.0,36,0.0,33.0,0,0.0,3.0,0
