District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bengaluru Urban,2544.0,67425.0,2972.0,33932.0,32314.0,15.0,1178.0,1.0
Ballari,431.0,8700.0,423.0,4299.0,4313.0,4.0,88.0,0.0
Mysuru,361.0,6476.0,152.0,2494.0,3784.0,4.0,198.0,0.0
Shivamogga,292.0,2438.0,99.0,915.0,1475.0,3.0,48.0,0.0
Belagavi,229.0,4466.0,44.0,1178.0,3197.0,1.0,91.0,0.0
Udupi,217.0,5359.0,80.0,3058.0,2251.0,6.0,50.0,0.0
Dharawada,212.0,5246.0,341.0,2846.0,2228.0,8.0,172.0,0.0
Davanagere,197.0,3040.0,97.0,1842.0,1122.0,8.0,76.0,0.0
Kalaburagi,196.0,6615.0,230.0,4053.0,2440.0,5.0,122.0,0.0
Raichuru,181.0,3125.0,62.0,2053.0,1038.0,2.0,34.0,0.0
Dakshina Kannada,173.0,6710.0,107.0,3107.0,3402.0,11.0,199.0,2.0
Bagalakote,168.0,2614.0,33.0,1134.0,1429.0,1.0,51.0,0.0
Tumakuru,160.0,2133.0,13.0,940.0,1128.0,5.0,65.0,0.0
Hassana,158.0,3037.0,15.0,1160.0,1801.0,4.0,76.0,0.0
Mandya,134.0,2292.0,63.0,1246.0,1026.0,1.0,20.0,0.0
Koppala,132.0,1878.0,73.0,844.0,1007.0,0.0,27.0,0.0
Gadag,124.0,1966.0,152.0,893.0,1030.0,2.0,43.0,0.0
Chikkaballapura,117.0,2370.0,14.0,1364.0,964.0,1.0,41.0,1.0
Kolara,107.0,1657.0,74.0,811.0,813.0,4.0,33.0,0.0
Bidar,98.0,2712.0,97.0,1803.0,815.0,3.0,90.0,4.0
Chamarajanagara,95.0,985.0,21.0,566.0,405.0,1.0,14.0,0.0
Uttara Kannada,77.0,2479.0,72.0,1659.0,794.0,1.0,26.0,0.0
Haveri,64.0,1580.0,111.0,818.0,731.0,1.0,31.0,0.0
Chikkamagaluru,59.0,1306.0,30.0,565.0,716.0,0.0,25.0,0.0
Vijayapura,58.0,3419.0,62.0,2396.0,983.0,1.0,40.0,0.0
Chitradurga,58.0,885.0,72.0,451.0,422.0,0.0,12.0,0.0
Kodagu,51.0,601.0,24.0,363.0,228.0,0.0,10.0,0.0
Ramanagara,41.0,1389.0,12.0,690.0,688.0,0.0,11.0,0.0
Yadagiri,37.0,2700.0,25.0,1992.0,695.0,1.0,13.0,0.0
Bengaluru Rural,34.0,2615.0,32.0,776.0,1829.0,0.0,10.0,0.0
Others,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
,,,,,,,,
