District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,4,13705,0,13532,37,0,136,0
Ballari,10,38930,11,38205,128,0,597,0
Belagavi,12,26336,26,25834,160,0,342,0
Bengaluru Rural,25,18367,27,17984,230,1,153,0
Bengaluru Urban,437,390785,902,380769,5679,3,4336,1
Bidar,4,7285,1,7069,41,0,171,4
Chamarajanagara,8,6828,7,6630,68,0,119,11
Chikkaballapura,30,13139,18,12864,157,0,117,1
Chikkamagaluru,5,13751,7,13477,135,0,139,0
Chitradurga,11,14376,11,14118,190,0,68,0
Dakshina Kannada,42,33080,22,32018,326,0,734,2
Davanagere,10,22073,3,21728,81,0,264,0
Dharwada,14,21932,12,21225,97,1,610,0
Gadag,2,10933,2,10763,29,0,141,0
Hassana,24,28135,8,27532,210,0,393,0
Haveri,0,10974,2,10764,20,0,190,0
Kalaburagi,20,21188,14,20681,182,0,325,0
Kodagu,12,5797,14,5651,75,0,71,0
Kolara,24,9784,10,9501,107,0,176,0
Koppala,1,13895,2,13583,33,0,279,0
Mandya,13,19501,16,19238,116,0,147,0
Mysuru,22,52640,37,51305,318,0,1017,0
Raichuru,5,14183,6,13985,40,0,158,0
Ramanagara,1,7385,3,7295,13,0,77,0
Shivamogga,4,22101,19,21571,182,0,348,0
Tumakuru,11,24653,15,24050,223,1,380,0
Udupi,10,23149,10,22850,110,0,189,0
Uttara Kannada,9,14315,21,14060,78,0,177,0
Vijayapura,7,14268,12,13989,73,0,206,0
Yadagiri,7,10613,0,10513,39,0,61,0
Others*,0,36,0,33,0,0,3,0
