District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,5,13710,3,13535,39,0,136,0
Ballari,21,38970,9,38229,144,0,597,0
Belagavi,27,26379,16,25870,167,0,342,0
Bengaluru Rural,26,18406,19,18029,224,0,153,0
Bengaluru Urban,479,391663,240,381460,5859,2,4343,1
Bidar,7,7298,5,7082,41,0,171,4
Chamarajanagara,6,6839,11,6650,59,0,119,11
Chikkaballapura,8,13167,24,12912,137,0,117,1
Chikkamagaluru,14,13770,6,13487,144,0,139,0
Chitradurga,10,14390,22,14154,168,0,68,0
Dakshina Kannada,62,33179,38,32063,380,0,734,2
Davanagere,16,22102,5,21747,91,0,264,0
Dharwada,14,21962,10,21248,104,0,610,0
Gadag,6,10939,2,10780,18,0,141,0
Hassana,15,28175,27,27582,200,0,393,0
Haveri,0,10977,2,10770,17,0,190,0
Kalaburagi,35,21240,15,20712,203,0,325,0
Kodagu,14,5819,8,5674,74,0,71,0
Kolara,18,9818,19,9523,118,0,177,0
Koppala,5,13902,2,13587,36,0,279,0
Mandya,26,19534,12,19273,114,0,147,0
Mysuru,45,52730,61,51400,313,0,1017,0
Raichuru,7,14192,1,13989,45,0,158,0
Ramanagara,5,7392,2,7299,16,0,77,0
Shivamogga,17,22141,10,21584,208,1,349,0
Tumakuru,39,24717,43,24110,226,0,381,0
Udupi,16,23169,15,22885,95,0,189,0
Uttara Kannada,18,14345,10,14083,85,0,177,0
Vijayapura,6,14289,19,14021,62,0,206,0
Yadagiri,3,10618,1,10515,42,0,61,0
Others*,0,36,0,33,0,0,3,0
