District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,4,13695,4,13520,39,0,136,0
Ballari,22,38882,23,38138,147,0,597,0
Belagavi,16,26289,14,25752,195,0,342,0
Bengaluru Rural,12,18300,19,17893,255,0,152,0
Bengaluru Urban,343,389193,463,377906,6964,1,4322,1
Bidar,7,7269,7,7051,43,0,171,4
Chamarajanagara,13,6801,18,6596,75,0,119,11
Chikkaballapura,29,13029,64,12712,199,0,117,1
Chikkamagaluru,11,13703,6,13439,125,0,139,0
Chitradurga,5,14314,13,14072,174,0,68,0
Dakshina Kannada,37,32948,19,31914,298,0,734,2
Davanagere,4,22041,20,21689,88,0,264,0
Dharwada,11,21882,19,21183,90,1,609,0
Gadag,1,10920,1,10753,26,0,141,0
Hassana,7,28033,25,27434,206,0,393,0
Haveri,3,10965,2,10757,18,0,190,0
Kalaburagi,17,21111,19,20612,176,0,323,0
Kodagu,12,5761,10,5587,103,0,71,0
Kolara,7,9731,10,9428,127,0,176,0
Koppala,5,13884,16,13568,37,0,279,0
Mandya,15,19460,18,19162,151,0,147,0
Mysuru,78,52498,84,51094,389,0,1015,0
Raichuru,5,14165,6,13959,48,0,158,0
Ramanagara,0,7381,6,7282,22,0,77,0
Shivamogga,4,22068,14,21511,209,0,348,0
Tumakuru,20,24587,48,23887,322,1,378,0
Udupi,12,23085,13,22815,82,0,188,0
Uttara Kannada,28,14272,6,13993,103,0,176,0
Vijayapura,25,14233,8,13932,96,0,205,0
Yadagiri,2,10592,1,10504,27,0,61,0
Others*,0,36,0,33,0,0,3,0
