District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,2,13712,10,13545,31,0,136,0
Ballari,9,38979,10,38239,143,0,597,0
Belagavi,23,26402,23,25893,167,0,342,0
Bengaluru Rural,15,18421,30,18059,209,0,153,0
Bengaluru Urban,465,392128,445,381905,5876,3,4346,1
Bidar,2,7300,3,7085,40,0,171,4
Chamarajanagara,5,6844,11,6661,53,0,119,11
Chikkaballapura,31,13198,17,12929,151,0,117,1
Chikkamagaluru,19,13789,8,13495,155,0,139,0
Chitradurga,20,14410,38,14192,150,0,68,0
Dakshina Kannada,37,33216,28,32091,389,0,734,2
Davanagere,13,22115,15,21762,89,0,264,0
Dharwada,9,21971,10,21258,103,0,610,0
Gadag,4,10943,4,10784,18,0,141,0
Hassana,31,28206,26,27608,205,0,393,0
Haveri,0,10977,2,10772,15,0,190,0
Kalaburagi,12,21252,12,20724,203,0,325,0
Kodagu,3,5822,12,5686,65,0,71,0
Kolara,52,9870,19,9542,151,0,177,0
Koppala,4,13906,2,13589,38,0,279,0
Mandya,6,19540,18,19291,102,0,147,0
Mysuru,42,52772,43,51443,311,1,1018,0
Raichuru,15,14207,2,13991,58,0,158,0
Ramanagara,0,7392,2,7301,14,0,77,0
Shivamogga,19,22160,18,21602,209,0,349,0
Tumakuru,15,24732,22,24132,219,0,381,0
Udupi,20,23189,12,22897,103,0,189,0
Uttara Kannada,11,14356,16,14099,80,0,177,0
Vijayapura,15,14304,11,14032,66,0,206,0
Yadagiri,0,10618,3,10518,39,0,61,0
Others*,0,36,0,33,0,0,3,0
